"";"x"
"1";0,26
"2";0,26
"3";0,26
"4";0,22
"5";0,17
"6";0,33
"7";0,2
"8";0,32
"9";0,22
"10";0,26
"11";0,28
"12";0,16
"13";0,28
"14";0,24
"15";0,08
"16";0,31
"17";0,19
"18";0,21
"19";0,19
"20";0,25
"21";0,28
"22";0,17
"23";0,17
"24";0,22
"25";0,18
"26";0,22
"27";0,2
"28";0,19
"29";0,21
"30";0,2
"31";0,23
"32";0,29
"33";0,24
"34";0,23
"35";0,28
"36";0,19
"37";0,3
"38";0,19
"39";0,28
"40";0,24
"41";0,16
"42";0,19
"43";0,24
"44";0,26
"45";0,26
"46";0,24
"47";0,14
"48";0,16
"49";0,19
"50";0,34
"51";0,17
"52";0,21
"53";0,16
"54";0,18
"55";0,24
"56";0,14
"57";0,23
"58";0,31
"59";0,33
"60";0,21
"61";0,33
"62";0,29
"63";0,19
"64";0,21
"65";0,26
"66";0,2
"67";0,14
"68";0,22
"69";0,25
"70";0,21
"71";0,26
"72";0,3
"73";0,31
"74";0,21
"75";0,22
"76";0,32
"77";0,24
"78";0,24
"79";0,27
"80";0,2
"81";0,21
"82";0,33
"83";0,33
"84";0,21
"85";0,26
"86";0,27
"87";0,14
"88";0,21
"89";0,23
"90";0,28
"91";0,19
"92";0,26
"93";0,15
"94";0,35
"95";0,19
"96";0,21
"97";0,27
"98";0,32
"99";0,21
"100";0,25
"101";0,34
"102";0,26
"103";0,18
"104";0,25
"105";0,31
"106";0,22
"107";0,22
"108";0,23
"109";0,15
"110";0,24
"111";0,16
"112";0,28
"113";0,19
"114";0,23
"115";0,22
"116";0,27
"117";0,26
"118";0,25
"119";0,21
"120";0,27
"121";0,12
"122";0,25
"123";0,26
"124";0,21
"125";0,28
"126";0,27
"127";0,21
"128";0,25
"129";0,31
"130";0,12
"131";0,17
"132";0,24
"133";0,28
"134";0,4
"135";0,28
"136";0,22
"137";0,12
"138";0,23
"139";0,28
"140";0,2
"141";0,18
"142";0,15
"143";0,21
"144";0,27
"145";0,32
"146";0,31
"147";0,34
"148";0,19
"149";0,17
"150";0,14
"151";0,25
"152";0,21
"153";0,16
"154";0,19
"155";0,24
"156";0,31
