"";"alpha";"beta";"psi";"kappa"
"1";2572,89231569425;2667,07121535927;2957,10323385668;2809,05885194125
"2";0,837585012845768;2,27182811290177;NA;7,58779783949892
"3";2807,04213351687;2615,23217193497;3335,19654368172;2481,5919613459
"4";2809,49447424094;2895,15865550992;2656,77065896899;2785,99860710954
"5";3033,94987243329;2464,31895514329;2849,70409396618;2647,40147125296
"6";2561,65705546281;2703,74231155695;2697,89673611187;2814,62736504329
"7";3204,73485362049;2617,6180778343;2778,26709177906;2567,22041030905
"8";0,575049502315689;1,09421631701881;NA;0,994466672467821
"9";2808,10209169646;2268,93769356434;2740,45036448433;2862,40460283242
"10";2714,80843569414;2411,24182743493;2578,74032070626;2581,83071382432
"11";3163,81850279885;2325,20804512961;2663,19306038192;2651,82650049831
"12";0,500107165821285;0,993226475770855;NA;0,825786205465359
"13";0,701573854074846;1,69947662547854;NA;1,8066429212399
"14";2970,01374430252;2874,27267847081;2870,03514706552;2941,84187759375
"15";NA;0,678665141611772;NA;1,5121109598126
"16";0,500107165821285;1,57264350463729;NA;1,35699845067431
"17";2650,39894735564;2609,89328447286;2769,57195554136;2789,70748661563
"18";2717,48301591811;2747,43959894419;2605,70166587363;2419,72557823068
"19";3054,3837838776;2473,20213791158;3189,00520635798;2530,81508012775
"20";2945,62348057172;3174,96396917705;3036,96813909836;2940,66980395243
"21";3054,35267184163;2226,28639112012;2684,37863378003;2349,39574087801
"22";0,500107165821285;4,66270160809727;NA;0,760266248732722
"23";3002,30915225794;3197,22913863139;3188,88623774555;2804,27707375758
"24";3,32637047911045;0,952851218308482;NA;1,61020303320059
"25";3142,23422408708;2269,85304896163;3132,23529434602;2435,63178457258
"26";0,500107165821285;2,62738895794977;NA;2,67861670745164
"27";1,67525943338222;2,57324964108643;NA;2,34104774749617
"28";2946,10628847878;2399,0513723453;2675,48990077152;2828,79114804465
"29";3349,08129458052;2887,78263747243;2994,91066787214;2945,65472907719
"30";0,500107165821285;1,65198542526316;NA;2,82084010566193
"31";2967,12384805916;2469,48601139687;2943,27019545893;2511,5309042709
"32";3238,55707318557;2683,26929563793;3200,95845498785;2465,3422148067
"33";0,500107165821285;8,59436718510864;NA;0,888133217657547
"34";2684,38023080338;2313,39659178394;3083,42718951983;2246,73214462077
"35";2634,66665559469;2763,70642439082;2723,90793177797;2751,78438547607
"36";0,500107165821285;0,681882547428929;NA;1,15207236159951
"37";2980,66994543038;2612,95832347368;2875,33367601037;2453,88587964805
"38";2432,92281698742;3135,82010739685;2635,21840543148;2891,67397737443
"39";0,500107165821285;2,87492891875009;NA;0,893988230838433
"40";0,500107165821285;2,62470234329826;NA;2,37838079710873
"41";2545,61684900265;2431,58361221949;2723,47285516169;2379,44133581931
