"";"alpha";"beta";"psi";"kappa"
"1";NA;2,19943756022657;NA;0,81199242488189
"2";2832,74838485396;2136,63549233627;2463,67279330432;2457,24833211483
"3";0,500107165821285;2,41790460842403;NA;1,40675973527088
"4";0,500107165821285;4,66506360346889;NA;2,69849721734896
"5";0,500107165821285;1,59016836492961;NA;0,627523807281648
"6";0,62137122957897;5,42688557867369;NA;1,39299243710228
"7";2,26464545926386;3,08563047601137;NA;3,35499567011845
"8";0,500107165821285;1,44000946330894;NA;1,43638033413015
"9";0,502041262517013;1,60213074547077;NA;3,12785051078721
"10";2877,09318516837;1566,2886386605;2140,5475862404;2033,27089363484
"11";3063,88950943373;2174,756138459;2546,39431119603;2206,3676018105
"12";2965,44333408711;2407,89684284205;2330,20166787113;2544,15735150591
"13";2586,86825831948;2489,87305857234;2775,5829474141;2324,84104440826
"14";2730,83959429985;2200,20427033886;2814,42898891514;2242,13849923485
"15";2591,44042063482;1910,48897496364;2507,05039152354;1817,53666668192
"16";2506,26153107806;2238,99574588795;2593,57026440844;2377,46562723333
"17";2773,44297097237;2247,08669539286;2662,47414464446;3073,23395357941
"18";2764,00183796261;2455,5435362692;2654,5471965248;2177,44845883919
"19";3121,19079568728;2493,13059189861;2862,37817975385;2755,80879872829
"20";2,96068471610083;1,67774948456619;NA;1,35833646503066
"21";0,500107165821285;0,792352311352107;NA;4,03082368287917
"22";0,500107165821285;3,95149210932783;NA;1,5482314893266
"23";2675,33929298235;2134,64305051709;2751,05625550785;2232,38175456967
"24";2392,9649275004;2413,13279247886;2399,8082021176;2660,44237344425
"25";0,500107165821285;0,900062183020046;NA;0,693310607134857
"26";2936,77588726169;2277,76581328257;2854,37845608572;2423,78297821549
"27";2749,53411719852;2260,23094249607;2507,37489711538;2744,47326291797
"28";0,500107165821285;0,794959204085739;NA;3,84446570604746
"29";0,500107165821285;1,64110975494293;NA;1,07498317732709
"30";0,500107165821285;1,56935933936066;NA;4,97470744362133
"31";NA;2,54655732052895;NA;1,04137394252375
"32";3,56524271330307;1,86294362665802;NA;2,13388092749285
"33";0,5159527662495;1,00320365108941;NA;1,11607585005839
"34";2930,70724240475;2031,09405709887;2883,78221748449;2290,47352566677
"35";3029,76143483958;2547,75703923133;2976,21113403033;2636,6313538938
"36";0,506392147159904;1,20049920009961;NA;2,96549946364646
"37";NA;2,29624160901898;NA;1,01589268976798
"38";0,500107165821285;2,3306355004017;NA;1,23650964685553
"39";2990,19245369651;2095,57716614867;2980,54472957807;2395,36796636244
"40";0,500107165821285;0,678665744285175;NA;1,03604240516186
"41";0,500107165821285;1,28186396686466;NA;1,04297390451066
"42";2644,95099034238;2302,91071948337;2628,80120105271;2197,87719952729
"43";2849,35184666612;2456,66227105587;2942,14732210172;2330,86708907606
"44";2763,46315252069;2603,49925300571;2947,98523317954;2507,05490435911
"45";0,500107165821285;2,10026542444447;NA;1,15754530787491
"46";2379,16751858922;2698,16425432713;2764,47107705106;2389,14605909099
"47";2704,45085833719;2531,91928167793;2722,81109216267;2688,25503806082
"48";2682,42528632598;2454,96791835911;2605,96638811707;2575,20412160352
"49";2479,20656163472;2569,03494264906;2240,29838730548;2327,74998145702
"50";2151,13079078812;2357,92321027669;2395,48135098458;2431,12642228497
"51";0,504437497389299;4,2998432611808;NA;1,70094211542145
"52";2816,2883187024;2506,12915646332;2817,1776632209;2709,80621144056
"53";3300,81338749437;2364,88089977876;2924,0259995018;2523,98423568068
"54";0,520083827281041;2,5354648173623;NA;1,13249642011903
"55";2689,60745929021;2399,30106396328;2752,72798490296;2601,07885461478
"56";3201,41686231873;2504,97515999132;2951,71114250508;2707,74835173587
"57";0,500107165821285;2,20871925683897;NA;2,08290212138975
"58";0,500107165821285;2,59578269572394;NA;5,02520946403702
"59";2700,57976125396;2375,47980911126;3065,32625677187;2345,96167141369
"60";0,500107165821285;1,1311166902706;NA;2,26289191238189
"61";0,500107165821285;1,01376322683429;NA;2,42052898949502
"62";0,532655548775554;1,05005805673653;NA;1,56287922481547
"63";2772,11324168447;2342,81861683292;2905,23064750764;2319,02936957337
"64";2560,56535147243;2496,26844014326;2975,2019204525;2606,1122979497
"65";0,500107165821285;0,955102428398205;NA;1,38027828272407
"66";0,500107165821285;1,23362282532188;NA;2,59403317851194
"67";0,545993522781377;2,64995407457942;NA;0,797400436127427
"68";2934,98999766126;2512,21777070787;2483,0315496883;2449,50995251868
"69";2562,05565646839;2382,92489091548;2020,47245495886;3051,69145877032
"70";0,500107165821285;4,15668321528559;NA;1,22804397291584
"71";2932,18014980016;2003,38230040649;2768,96613477313;2519,17092093685
"72";2999,48776171151;2703,68800234473;3164,49211392544;2729,41802722527
"73";0,500107165821285;2,58817806237859;NA;0,709997792014288
"74";0,500107165821285;1,10672111318126;NA;2,66884772344457
"75";2806,47774162251;2412,51580161274;2586,15342914519;2588,79622679248
"76";2371,67142920066;2305,82557827328;2432,80385469296;2377,23688528215
"77";0,500107165821285;0,822223537507786;NA;13,9498273215012
"78";2871,76182444763;2351,13674682526;2985,02079861989;2496,55782342533
"79";0,500107165821285;3,58917422073372;NA;1,79663949426098
"80";0,500107165821285;1,2726733408427;NA;1,44915575814513
"81";3146,56975019942;2378,71058247551;3020,69877597544;2310,22689629985
"82";0,500107165821285;1,22243245448761;NA;0,730923312407843
"83";2714,57735277907;2725,80575559493;2659,28642031362;2462,83141802735
"84";NA;3,6768094038486;NA;0,830166329916129
"85";2476,65658735991;2175,84124584531;2362,04877448007;2456,45544908678
"86";NA;1,29977461794753;NA;0,772427896112745
"87";3064,37112817332;2286,79242985692;3140,60541789639;2936,36968834928
"88";0,500107165821285;1,79220294987578;NA;0,766958151464845
"89";0,500107165821285;3,37370585171062;NA;1,23054583176973
"90";0,500107165821285;2,40332168844145;NA;1,46411066847326
"91";2970,44374404264;2358,53868355414;2743,38137763266;2534,55535520956
"92";2608,999466199;2584,22501563417;2508,77581496346;2326,0307028221
"93";0,500107165821285;1,62249350179426;NA;1,57427987310833
"94";2607,07290693007;2621,87322693451;2339,76191466729;2897,13954101079
