"";"mean";"se";"bias";"cp"
"1";0,479036005076464;0,0284228387445279;-0,041927989847071;1
"2";0,511430007259256;0,0301927842740861;0,0228600145185121;1
"3";0,505295953965287;0,0299009671573566;0,0105919079305734;1
"4";0,500178076553159;0,0292451618253212;0,000356153106317869;1
"5";0,53197428587052;0,0319772560423165;0,0639485717410395;1
"6";0,520245848288494;0,0297698895141662;0,0404916965769884;1
"7";0,560498107932084;0,0326176298162835;0,120996215864168;1
"8";0,467565187740512;0,0271838821390982;-0,064869624518976;1
"9";0,534618171586492;0,0314125463178391;0,0692363431729837;1
"10";0,500496690054565;0,0291992814974493;0,000993380109129749;1
