"";"mean";"se";"bias";"cp"
"1";0,24081136004003;0,130150031394012;-0,518377279919941;0
"2";0,236674351167875;0,105958682223529;-0,526651297664249;0
"3";0,49299837690037;0,217394617630054;-0,0140032461992604;1
"4";0,567696541069286;0,263248743126226;0,135393082138572;1
"5";0,235056855812592;0,119313420109081;-0,529886288374816;0
"6";0,201171869009893;0,104982367695346;-0,597656261980215;0
"7";1,08469019604378;0,481003628465048;1,16938039208756;1
"8";0,29313344133203;0,171936078905883;-0,41373311733594;1
"9";0,632518318184269;0,26390070613477;0,265036636368538;1
"10";0,239626705633466;0,131112212959253;-0,520746588733068;0
