"";"mean";"se";"bias";"cp"
"1";0,437896812399236;0,0856070600772676;-0,124206375201527;1
"2";0,43376981527453;0,0875420877018253;-0,13246036945094;1
"3";0,467480416481019;0,0902474561727549;-0,0650391670379613;1
"4";0,584750691276764;0,1090896935256;0,169501382553529;1
"5";0,459336784513587;0,0890522093417585;-0,081326430972827;1
"6";0,379453160273442;0,0741247561582869;-0,241093679453116;1
"7";0,63220379740852;0,123427449983118;0,264407594817039;1
"8";0,442687961755541;0,0837774680723356;-0,114624076488919;1
"9";0,475582436170863;0,0958661444055094;-0,0488351276582736;1
"10";0,578101382631699;0,106776998383377;0,156202765263397;1
