"";"alpha";"beta";"lambda";"lp"
"1";0,999910463703771;0,999985185336165;1,00029883632038;0,999872345893223
"2";0,999886065946735;0,999890744867889;0,999919140558588;1,00208767346918
"3";1,00221389683559;1,00147264688175;1,00110493501801;0,99988744401914
"4";0,999949631050502;1,00030612085934;1,00053230721546;0,999940619432626
"5";0,999869479551253;0,999928735495598;0,99993219808042;1,00043424991258
"6";1,00010812287115;1,00011666784624;1,0003345727737;1,00104591837541
"7";1,00145353243486;1,00111762595738;1,00087415174565;0,999868452551174
"8";0,999858001562252;0,999858095433174;0,999858342613878;1,00149658724617
"9";0,999993381241647;1,00017610870519;1,00009235922163;0,999868945689625
"10";0,999930641672949;1,00000162474425;0,999995880096806;1,00013145382574
"11";1,0051123005122;1,0056738896251;1,00480307984328;0,999892062772296
"12";1,00131952890101;1,00254532740154;1,00240667234436;0,99989351823252
"13";0,999979886019508;1,00009769592163;1,00009843901627;1,00036157891318
"14";1,00004680986695;1,00013439707083;1,00008416074804;0,999934146839821
"15";1,001685585654;1,0010527891111;1,0008694017804;1,00009000486466
"16";1,00085708644396;1,00080902983342;1,00080787457932;0,999959591923548
"17";1,00016935830758;1,00001470570407;0,999893028428795;1,00127044465304
"18";1,00079592905413;1,00082960485231;1,00066281064906;1,00084343618194
"19";1,00018278764369;1,00043222350544;1,00063211849874;1,00084967388101
"20";1,00138382139;1,00289986751714;1,00336040910058;1,00068290380748
"21";1,00130344764928;1,00193548096926;1,00219197728017;1,00005430603331
"22";1,00104281488906;1,00093514224812;1,00080831087412;1,0005329888497
"23";0,999924720477327;1,000173660112;1,00017585820501;1,00047318902977
"24";1,00020500174014;1,00006159999884;1,0000890592776;1,00043381641457
"25";1,00003677599035;1,00020250221606;1,00039691628475;1,0000241402778
"26";0,999859216606007;0,999896704398361;0,999887830911202;1,00012793850297
"27";0,999917409280606;0,999866999812717;0,99985848840751;1,00017346811169
"28";1,00127210699375;1,00118240051797;1,00115936040334;0,999888309813314
"29";1,00008172843162;1,00030035015636;1,00024257555489;0,999857703455733
"30";1,00443949491262;1,00451640645406;1,00381276561082;0,999956493342734
"31";1,00042910285457;1,00037821901844;1,00014795948012;1,00009368541602
"32";1,00167180623599;1,00164477152792;1,00151543294794;0,999871493845943
