;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
115;5,110430999;0,350886819;2,208619981;1;;;;;
116;5,320035756;0,389171242;6,400715129;1;;;;;
117;4,908953912;0,338427092;-1,820921767;1;;;;;
118;5,281241776;0,342875906;5,624835515;1;;;;;
119;4,508826016;0,341939503;-9,823479679;1;;;;;
120;4,597687608;0,302066254;-8,046247843;1;;;;;
121;5,477688987;0,375992958;9,553779739;1;;;;;
122;5,058165433;0,359293672;1,163308657;1;;;;;
123;4,751315074;0,349086802;-4,97369852;1;;;;;
124;5,130421109;0,32859538;2,608422187;1;;;;;
125;5,461898277;0,35018847;9,237965546;1;;;;;
126;4,518004346;0,311925574;-9,639913074;1;;;;;
127;5,299311234;0,346961775;5,986224676;1;;;;;
128;4,848285473;0,350562926;-3,034290534;1;;;;;
129;5,102940415;0,360560818;2,058808309;1;;;;;
130;4,919851857;0,346888006;-1,602962855;1;;;;;
131;5,182887147;0,336036048;3,657742948;1;;;;;
132;4,504816829;0,324080804;-9,903663413;1;;;;;
133;5,106227152;0,362227687;2,124543044;1;;;;;
134;4,187476868;0,320614317;-16,25046263;0;;;;;
135;4,572894977;0,322389786;-8,542100464;1;;;;;
136;5,076993404;0,3408697;1,539868072;1;;;;;
137;5,292495348;0,359472176;5,849906954;1;;;;;
138;4,747561126;0,339981303;-5,048777479;1;;;;;
139;5,302011967;0,336355212;6,040239349;1;;;;;
140;5,323721876;0,372055187;6,474437526;1;;;;;
141;4,824567137;0,34501887;-3,508657264;1;;;;;
142;5,1870527;0,349969375;3,741054002;1;;;;;
143;5,353866408;0,350379454;7,077328152;1;;;;;
144;4,530241127;0,326335181;-9,395177468;1;;;;;
145;4,49770898;0,329204845;-10,0458204;1;;;;;
146;5,219580546;0,338161081;4,391610919;1;;;;;
147;5,526154488;0,371637515;10,52308976;1;;;;;
148;5,477239043;0,361500398;9,544780864;1;;;;;
149;5,208338423;0,34404984;4,166768467;1;;;;;
150;5,117391251;0,341879289;2,347825016;1;;;;;
151;5,00034316;0,348662753;0,006863192;1;;;;;
152;4,254194601;0,329235407;-14,91610798;0;;;;;
153;5,293016816;0,335551279;5,860336321;1;;;;;
154;4,957011057;0,331960238;-0,859778858;1;;;;;
155;5,121929526;0,355904399;2,438590513;1;;;;;
156;5,210896744;0,341895801;4,217934876;1;;;;;
157;4,544548874;0,341161028;-9,109022523;1;;;;;
158;5,463032977;0,345289826;9,260659539;1;;;;;
159;5,067870988;0,328162056;1,35741976;1;;;;;
160;4,619137662;0,343457711;-7,617246751;1;;;;;
161;5,0675943;0,343010679;1,351885996;1;;;;;
162;4,947690595;0,314296401;-1,0461881;1;;;;;
163;4,534232257;0,332659552;-9,315354863;1;;;;;
164;4,675011939;0,338781173;-6,499761213;1;;;;;
165;4,919598799;0,344446905;-1,608024021;1;;;;;
166;4,749105896;0,314393422;-5,017882089;1;;;;;
167;4,892156152;0,325282773;-2,156876956;1;;;;;
168;4,785285131;0,341512486;-4,294297389;1;;;;;
169;4,56653729;0,331746299;-8,669254202;1;;;;;
170;5,221512684;0,368766196;4,430253679;1;;;;;
171;5,297518932;0,370232417;5,950378641;1;;;;;
172;4,987214571;0,339919594;-0,255708578;1;;;;;
173;5,018206166;0,346207236;0,364123321;1;;;;;
174;5,247934263;0,333677329;4,958685269;1;;;;;
175;5,421951968;0,33694786;8,439039366;1;;;;;
176;5,058447444;0,349914157;1,16894889;1;;;;;
177;5,066141203;0,318189579;1,322824059;1;;;;;
178;4,975175661;0,324677947;-0,496486775;1;;;;;
179;5,007260727;0,33619683;0,145214534;1;;;;;
180;4,691412427;0,335613972;-6,171751457;1;;;;;
181;4,866969197;0,362089879;-2,660616063;1;;;;;
182;4,583666594;0,323795261;-8,32666813;1;;;;;
183;5,307869346;0,340593231;6,157386915;1;;;;;
184;5,164685989;0,341335737;3,293719784;1;;;;;
185;5,039954239;0,33298684;0,799084774;1;;;;;
186;4,855920186;0,322653138;-2,881596275;1;;;;;
187;5,024401175;0,331782695;0,488023506;1;;;;;
188;4,643174663;0,338836503;-7,136506749;1;;;;;
189;5,33889517;0,333257059;6,777903402;1;;;;;
190;5,105548481;0,333792136;2,110969616;1;;;;;
191;5,041240263;0,349371079;0,824805268;1;;;;;
192;4,946410237;0,358024052;-1,071795259;1;;;;;
193;5,121068221;0,362933096;2,421364413;1;;;;;
194;4,477931368;0,350639879;-10,44137265;1;;;;;
195;4,739276315;0,328623872;-5,214473695;1;;;;;
196;5,35391702;0,372307404;7,078340391;1;;;;;
197;5,143735108;0,336795909;2,874702152;1;;;;;
198;5,187609078;0,339778511;3,752181567;1;;;;;
199;5,262665596;0,366931916;5,253311924;1;;;;;
200;5,218469183;0,33579076;4,369383669;1;;;;;
201;5,467568551;0,365453116;9,351371025;1;;;;;
202;4,853008523;0,328469073;-2,939829539;1;;;;;
203;5,067186144;0,311877515;1,343722884;1;;;;;
204;5,010970529;0,349103788;0,219410571;1;;;;;
205;4,877523981;0,353064779;-2,449520373;1;;;;;
206;4,705059788;0,33240267;-5,898804248;1;;;;;
207;4,138624289;0,337177513;-17,22751422;0;;;;;
208;4,970892305;0,335651448;-0,582153894;1;;;;;
209;4,382320993;0,32567322;-12,35358013;1;;;;;
210;5,256685982;0,352185848;5,13371964;1;;;;;
211;4,808309164;0,322195379;-3,833816713;1;;;;;
212;5,072724045;0,329569273;1,454480898;1;;;;;
213;4,654008719;0,351022039;-6,919825619;1;;;;;
214;5,301746251;0,33446314;6,034925016;1;;;;;
215;4,605823862;0,323284326;-7,883522757;1;;;;;
216;5,410442706;0,345312454;8,20885412;1;;;;;
217;5,436720322;0,382110426;8,73440643;1;;;;;
218;5,016801748;0,347024739;0,33603496;1;;;;;
219;4,447161191;0,324624685;-11,05677618;1;;;;;
220;4,287847767;0,323068186;-14,24304466;0;;;;;
221;4,916237296;0,314975218;-1,675254089;1;;;;;
222;4,566167748;0,335467716;-8,676645046;1;;;;;
223;4,397083596;0,323836096;-12,05832808;1;;;;;
224;4,966897132;0,326198171;-0,662057351;1;;;;;
225;5,222208423;0,337840129;4,444168457;1;;;;;
226;5,116374209;0,35537644;2,327484177;1;;;;;
227;4,911108913;0,329254514;-1,777821738;1;;;;;
228;5,055701446;0,342518274;1,114028922;1;;;;;
229;4,798455492;0,342551525;-4,030890154;1;;;;;
230;4,973797218;0,346590624;-0,524055632;1;;;;;
231;5,34742263;0,370700465;6,9484526;1;;;;;
232;5,470735692;0,362975118;9,414713844;1;;;;;
233;4,946015154;0,332973913;-1,079696927;1;;;;;
234;5,100846057;0,335076151;2,016921139;1;;;;;
235;5,142484017;0,343365407;2,849680345;1;;;;;
236;5,120861796;0,339430176;2,41723593;1;;;;;
237;5,046064952;0,32271546;0,921299039;1;;;;;
238;4,807901383;0,336707118;-3,841972349;1;;;;;
239;4,645478049;0,32919927;-7,090439022;1;;;;;
240;4,756427054;0,335489955;-4,871458916;1;;;;;
241;5,149512813;0,327695016;2,990256261;1;;;;;
242;5,296771505;0,369372844;5,935430093;1;;;;;
243;4,66161433;0,355843454;-6,76771341;1;;;;;
244;5,350269046;0,338817438;7,005380923;1;;;;;
245;4,672871537;0,323016966;-6,542569263;1;;;;;
246;4,85804127;0,349472135;-2,839174606;1;;;;;
247;4,407090469;0,34339533;-11,85819062;1;;;;;
248;4,735904403;0,324614948;-5,281911935;1;;;;;
249;5,695353266;0,362554984;13,90706531;0;;;;;
250;5,040807386;0,330528957;0,816147717;1;;;;;
251;5,173830826;0,348514102;3,476616511;1;;;;;
252;4,752335275;0,353678164;-4,953294506;1;;;;;
253;4,967819042;0,312872951;-0,643619156;1;;;;;
254;5,66735919;0,356587588;13,3471838;1;;;;;
255;5,306529478;0,362744386;6,13058957;1;;;;;
256;5,090467203;0,335793325;1,809344058;1;;;;;
257;4,491518808;0,319980772;-10,16962384;1;;;;;
258;5,304349943;0,362177865;6,086998868;1;;;;;
259;5,257901896;0,349414399;5,158037912;1;;;;;
260;4,922052781;0,350200266;-1,558944385;1;;;;;
261;5,228545149;0,354904621;4,57090299;1;;;;;
262;5,336470264;0,341736585;6,729405276;1;;;;;
263;4,857997367;0,325164528;-2,840052667;1;;;;;
264;5,000940268;0,366264099;0,018805366;1;;;;;
265;4,524996015;0,330957879;-9,500079704;1;;;;;
266;5,043145564;0,347940571;0,862911286;1;;;;;
267;5,088812476;0,340945599;1,776249525;1;;;;;
268;5,258674789;0,334168996;5,173495785;1;;;;;
269;5,216938848;0,357734896;4,338776963;1;;;;;
270;5,211406799;0,355092672;4,228135983;1;;;;;
271;4,596640791;0,346547589;-8,067184171;1;;;;;
272;4,762263423;0,325639727;-4,754731539;1;;;;;
273;4,485400428;0,329257107;-10,29199144;1;;;;;
274;5,06020799;0,325637114;1,20415979;1;;;;;
275;5,310515968;0,361818323;6,210319359;1;;;;;
276;4,922135405;0,339343583;-1,557291909;1;;;;;
277;5,221123158;0,341909621;4,422463155;1;;;;;
278;4,806986049;0,332646868;-3,860279025;1;;;;;
279;5,819616292;0,373666997;16,39232584;0;;;;;
280;5,224001388;0,314484641;4,480027763;1;;;;;
281;5,170834026;0,331050419;3,416680514;1;;;;;
282;4,297199635;0,308406754;-14,05600729;0;;;;;
283;5,474776716;0,343475178;9,495534312;1;;;;;
284;4,561177398;0,341678982;-8,776452032;1;;;;;
285;5,366057119;0,342496008;7,321142376;1;;;;;
286;4,937899649;0,320290046;-1,242007012;1;;;;;
287;5,206288204;0,32923806;4,125764078;1;;;;;
288;4,699297844;0,334236827;-6,014043117;1;;;;;
289;4,560060965;0,329812377;-8,798780692;1;;;;;
290;5,24439412;0,388632065;4,887882397;1;;;;;
291;4,830015495;0,351812759;-3,399690104;1;;;;;
292;5,105761608;0,346631194;2,115232156;1;;;;;
293;4,773678539;0,339273177;-4,526429222;1;;;;;
294;4,617789828;0,349565863;-7,644203435;1;;;;;
295;4,792855852;0,331209384;-4,14288296;1;;;;;
296;4,805204613;0,310477507;-3,895907745;1;;;;;
297;5,460790853;0,333700079;9,215817067;1;;;;;
298;4,80898498;0,323342651;-3,820300397;1;;;;;
299;4,670409258;0,338402072;-6,591814841;1;;;;;
300;5,142466537;0,34912984;2,849330747;1;;;;;
301;5,056472784;0,348415541;1,129455675;1;;;;;
302;5,144384478;0,336747455;2,88768957;1;;;;;
303;5,187103354;0,336936216;3,742067088;1;;;;;
304;5,524308127;0,389886009;10,48616255;1;;;;;
305;5,405792218;0,344994332;8,115844367;1;;;;;
306;4,497465982;0,297965471;-10,05068036;1;;;;;
307;5,172998745;0,339945798;3,459974903;1;;;;;
308;5,64635294;0,355338909;12,92705881;1;;;;;
309;4,678847047;0,323182442;-6,423059058;1;;;;;
310;4,874821138;0,323401824;-2,503577237;1;;;;;
311;4,614423772;0,358698752;-7,711524569;1;;;;;
312;5,042486076;0,342976616;0,849721527;1;;;;;
313;4,878594205;0,333561729;-2,428115901;1;;;;;
314;5,079784012;0,335842273;1,595680241;1;;;;;
315;4,987077615;0,330778013;-0,258447699;1;;;;;
316;5,048340277;0,310825659;0,966805547;1;;;;;
317;4,852044029;0,344689015;-2,959119417;1;;;;;
318;4,792976248;0,353799736;-4,140475048;1;;;;;
319;5,010660254;0,335239151;0,213205072;1;;;;;
320;4,926145931;0,350200294;-1,47708138;1;;;;;
321;5,114851937;0,337933741;2,297038744;1;;;;;
322;5,421993173;0,354120444;8,439863469;1;;;;;
323;5,232357231;0,347983854;4,647144614;1;;;;;
324;4,49868493;0,33205704;-10,0263014;1;;;;;
325;5,364490044;0,348174492;7,289800873;1;;;;;
326;4,996245905;0,335724483;-0,0750819;1;;;;;
327;4,350245903;0,310505482;-12,99508194;0;;;;;
328;4,863121011;0,318232746;-2,737579772;1;;;;;
329;5,342150289;0,351029403;6,843005771;1;;;;;
330;4,437033203;0,306905799;-11,25933595;1;;;;;
331;5,246783372;0,351334307;4,935667448;1;;;;;
332;4,57382053;0,343497703;-8,523589396;1;;;;;
333;5,083864711;0,332989399;1,677294228;1;;;;;
334;5,265076864;0,360870164;5,301537276;1;;;;;
335;5,322996354;0,341434757;6,459927081;1;;;;;
336;5,029573427;0,34696387;0,591468545;1;;;;;
337;5,362927761;0,337777647;7,258555213;1;;;;;
338;4,661547944;0,32415095;-6,76904111;1;;;;;
339;5,300504128;0,346365293;6,01008255;1;;;;;
340;5,397123148;0,351098563;7,942462962;1;;;;;
341;5,448012081;0,37041786;8,960241616;1;;;;;
342;4,97113262;0,337355073;-0,577347607;1;;;;;
343;4,806993207;0,354344929;-3,860135862;1;;;;;
344;5,491694998;0,349663838;9,833899951;1;;;;;
345;4,705641847;0,305569508;-5,887163065;1;;;;;
346;4,996475349;0,364503392;-0,070493025;1;;;;;
347;4,715498329;0,354305545;-5,690033421;1;;;;;
348;4,730440429;0,348680967;-5,391191423;1;;;;;
349;4,341957247;0,339105933;-13,16085506;1;;;;;
350;4,871174407;0,347396348;-2,576511859;1;;;;;
351;4,651722066;0,319122881;-6,96555869;1;;;;;
352;4,715370587;0,312471794;-5,692588254;1;;;;;
353;5,274469452;0,319341672;5,489389032;1;;;;;
354;4,813626453;0,323125415;-3,72747093;1;;;;;
355;5,040826175;0,321789956;0,816523502;1;;;;;
356;4,434087162;0,320035372;-11,31825675;1;;;;;
357;5,685146762;0,363226554;13,70293525;1;;;;;
358;4,612581584;0,338059619;-7,748368311;1;;;;;
359;4,97231311;0,328089857;-0,553737799;1;;;;;
360;4,790310684;0,320357071;-4,193786316;1;;;;;
361;5,11644701;0,335639957;2,328940196;1;;;;;
362;4,395743685;0,308177072;-12,08512629;1;;;;;
363;4,735144947;0,339369656;-5,297101052;1;;;;;
364;5,236006643;0,353307258;4,720132851;1;;;;;
365;5,132029618;0,338611431;2,640592353;1;;;;;
366;5,003698037;0,311477897;0,073960731;1;;;;;
367;4,906928272;0,323605866;-1,861434551;1;;;;;
368;5,207776752;0,348587825;4,155535039;1;;;;;
369;5,568815486;0,343703381;11,37630972;1;;;;;
370;4,869619921;0,325167097;-2,607601577;1;;;;;
371;4,558006688;0,33980651;-8,839866232;1;;;;;
372;4,884985924;0,341694824;-2,300281525;1;;;;;
373;5,018918473;0,309458782;0,378369465;1;;;;;
374;4,854171587;0,320258369;-2,916568269;1;;;;;
375;5,157331495;0,339096763;3,146629904;1;;;;;
376;5,959628954;0,367509527;19,19257909;0;;;;;
377;4,875382877;0,324910136;-2,492342456;1;;;;;
378;4,954666608;0,373407947;-0,906667831;1;;;;;
379;5,161919196;0,333612632;3,23838392;1;;;;;
380;5,059216263;0,373311895;1,184325264;1;;;;;
381;4,790641578;0,342103482;-4,187168435;1;;;;;
382;5,055766705;0,348429007;1,115334095;1;;;;;
383;4,703972546;0,329663743;-5,920549087;1;;;;;
384;4,287860546;0,330768854;-14,24278908;0;;;;;
385;4,761820946;0,312675354;-4,763581087;1;;;;;
386;4,656380313;0,36363097;-6,872393744;1;;;;;
387;4,527629881;0,314892435;-9,447402372;1;;;;;
388;5,164946356;0,358536508;3,298927129;1;;;;;
389;4,892639108;0,365048265;-2,147217839;1;;;;;
390;5,235602227;0,344535585;4,712044544;1;;;;;
391;5,37071788;0,356768855;7,414357597;1;;;;;
392;5,054897889;0,326897832;1,097957781;1;;;;;
393;5,419065433;0,350697267;8,381308665;1;;;;;
394;5,455927768;0,347639236;9,118555364;1;;;;;
395;5,61142404;0,391528404;12,22848081;1;;;;;
396;4,641793755;0,330785034;-7,164124905;1;;;;;
397;4,938733607;0,335464413;-1,225327863;1;;;;;
398;5,432198425;0,366249781;8,643968491;1;;;;;
399;5,268078126;0,331720639;5,361562515;1;;;;;
400;4,971345226;0,318593231;-0,573095476;1;;;;;
401;4,879559143;0,340896107;-2,408817138;1;;;;;
402;4,463907782;0,31115496;-10,72184436;1;;;;;
403;4,905748864;0,310648103;-1,885022713;1;;;;;
404;6,088055303;0,362235002;21,76110606;0;;;;;
405;5,095800655;0,348583044;1,916013096;1;;;;;
406;4,893525416;0,32243206;-2,12949168;1;;;;;
407;4,643654928;0,351347401;-7,126901438;1;;;;;
408;4,699073369;0,353619762;-6,01853261;1;;;;;
409;5,074104556;0,324915272;1,482091114;1;;;;;
410;4,637973554;0,343619034;-7,24052892;1;;;;;
411;5,809367946;0,374090329;16,18735892;0;;;;;
412;5,518461874;0,376613946;10,36923748;1;;;;;
413;5,184397348;0,351577168;3,687946966;1;;;;;
414;5,148738831;0,326515294;2,974776617;1;;;;;
415;5,13011481;0,357424025;2,602296208;1;;;;;
416;4,891742593;0,338469511;-2,165148141;1;;;;;
417;4,911260917;0,334188306;-1,774781661;1;;;;;
418;4,78150275;0,312703728;-4,369944992;1;;;;;
419;5,785194836;0,370471668;15,70389672;0;;;;;
420;4,54827631;0,330037929;-9,034473801;1;;;;;
421;4,732710902;0,343225409;-5,345781955;1;;;;;
422;5,288344986;0,35064861;5,766899726;1;;;;;
423;5,12289388;0,349758034;2,457877607;1;;;;;
424;4,714064163;0,317275413;-5,718716744;1;;;;;
425;4,973178722;0,323759047;-0,536425556;1;;;;;
426;4,973760569;0,354057854;-0,524788613;1;;;;;
427;4,787120984;0,337453551;-4,257580323;1;;;;;
428;5,113257186;0,339057586;2,265143719;1;;;;;
429;5,147860048;0,337812546;2,957200951;1;;;;;
430;4,799549856;0,351601449;-4,009002877;1;;;;;
431;4,403230683;0,318387857;-11,93538634;1;;;;;
432;4,744453782;0,338614047;-5,110924362;1;;;;;
433;5,089511943;0,348444086;1,790238865;1;;;;;
434;5,097350675;0,344007861;1,947013506;1;;;;;
435;4,94015559;0,344441171;-1,196888204;1;;;;;
436;4,896244523;0,310143287;-2,075109542;1;;;;;
437;4,844915978;0,34042795;-3,101680448;1;;;;;
438;4,942422674;0,33391842;-1,151546521;1;;;;;
439;4,878290417;0,356402901;-2,434191654;1;;;;;
440;4,792130362;0,336197442;-4,157392765;1;;;;;
441;4,813741373;0,365412198;-3,725172541;1;;;;;
442;5,637702488;0,340654074;12,75404975;1;;;;;
443;5,200205448;0,336827184;4,004108953;1;;;;;
444;5,110381617;0,353409848;2,207632337;1;;;;;
445;5,841033857;0,35864591;16,82067715;0;;;;;
446;4,815102114;0,332604101;-3,697957724;1;;;;;
447;4,946208927;0,370692325;-1,075821461;1;;;;;
448;5,307675197;0,330063484;6,153503936;1;;;;;
449;4,746080318;0,344704219;-5,078393634;1;;;;;
450;4,811085261;0,354861276;-3,778294789;1;;;;;
451;5,360165269;0,356731551;7,203305374;1;;;;;
452;4,749278929;0,337450263;-5,014421422;1;;;;;
453;4,897989663;0,352264797;-2,040206745;1;;;;;
454;4,480750507;0,320792055;-10,38498986;1;;;;;
455;4,711329763;0,328631287;-5,773404741;1;;;;;
456;4,621602982;0,36013825;-7,567940351;1;;;;;
457;5,604004857;0,366051645;12,08009714;1;;;;;
458;4,676068482;0,326978895;-6,478630352;1;;;;;
459;4,770641558;0,327198255;-4,587168834;1;;;;;
460;5,283131314;0,358737116;5,662626273;1;;;;;
461;4,350379633;0,332873794;-12,99240734;1;;;;;
462;5,019876933;0,326229717;0,397538663;1;;;;;
463;5,580111745;0,333939149;11,60223489;1;;;;;
464;4,263149322;0,300864429;-14,73701357;0;;;;;
465;5,435048866;0,335721407;8,700977315;1;;;;;
466;4,977519218;0,343395209;-0,449615631;1;;;;;
467;4,55973975;0,322893091;-8,805205001;1;;;;;
468;5,078056985;0,34747672;1,561139704;1;;;;;
469;4,701151867;0,335313758;-5,976962666;1;;;;;
470;5,600296173;0,355806946;12,00592347;1;;;;;
471;4,755603215;0,329237086;-4,887935709;1;;;;;
472;4,170897178;0,332706312;-16,58205645;0;;;;;
473;5,019721646;0,325219129;0,394432925;1;;;;;
474;5,156611726;0,353169513;3,132234521;1;;;;;
475;4,817472591;0,329283543;-3,650548172;1;;;;;
476;5,117869073;0,319296058;2,357381464;1;;;;;
477;4,529427993;0,349640264;-9,411440145;1;;;;;
478;5,22860263;0,368568223;4,57205259;1;;;;;
479;4,933824863;0,341023309;-1,32350274;1;;;;;
480;4,988193201;0,345494922;-0,236135974;1;;;;;
481;4,375974098;0,340553035;-12,48051805;1;;;;;
482;4,807634251;0,313236996;-3,847314972;1;;;;;
483;4,775035393;0,336977783;-4,499292131;1;;;;;
484;4,626263649;0,334807117;-7,474727026;1;;;;;
485;4,880449624;0,349097637;-2,391007528;1;;;;;
486;5,144146241;0,344864379;2,882924821;1;;;;;
487;4,845834019;0,321377289;-3,083319611;1;;;;;
488;5,281328896;0,35004195;5,626577915;1;;;;;
489;5,496807923;0,348886232;9,936158467;1;;;;;
490;5,21295139;0,351662166;4,259027806;1;;;;;
491;5,255646932;0,350009917;5,112938643;1;;;;;
492;4,78738253;0,35685875;-4,252349391;1;;;;;
493;5,593819619;0,353445892;11,87639238;1;;;;;
494;4,6036262;0,32342027;-7,927475992;1;;;;;
495;4,982099775;0,350048864;-0,358004493;1;;;;;
496;4,646962809;0,356550084;-7,060743824;1;;;;;
497;4,402369307;0,348678002;-11,95261386;1;;;;;
498;5,452892151;0,358859206;9,057843017;1;;;;;
499;4,480431669;0,300297115;-10,39136662;1;;;;;
500;5,295304638;0,376979885;5,90609276;1;;;;;
