;mean;sd;bias;cp;;Mean means;Mean Sds;Mean bias;Mean CP
1;-2,171340274;0,192322045;8,567013678;1;;-1,953514462;0,198700959;-2,324276885;0,95
2;-2,183195171;0,241816005;9,15975854;1;;;;;
3;-1,749537782;0,239958591;-12,52311091;1;;;;;
4;-1,665954512;0,154851106;-16,70227442;0;;;;;
5;-1,969960479;0,181384032;-1,50197604;1;;;;;
6;-1,907418624;0,199161412;-4,629068821;1;;;;;
7;-2,24073695;0,198073204;12,03684752;1;;;;;
8;-2,142814959;0,199777226;7,140747966;1;;;;;
9;-1,77405259;0,199110016;-11,29737051;1;;;;;
10;-1,82071018;0,168378461;-8,96449098;1;;;;;
11;-1,857754698;0,190011398;-7,11226509;1;;;;;
12;-1,688429711;0,227835171;-15,57851444;1;;;;;
13;-2,041886619;0,184204271;2,09433096;1;;;;;
14;-2,595481118;0,223724628;29,77405591;0;;;;;
15;-2,031976036;0,193573889;1,598801806;1;;;;;
16;-2,069403037;0,215781427;3,470151875;1;;;;;
17;-2,007348165;0,180032177;0,367408255;1;;;;;
18;-1,976573382;0,18569251;-1,171330901;1;;;;;
19;-2,280843088;0,219181398;14,04215439;1;;;;;
20;-1,970594668;0,210564843;-1,470266609;1;;;;;
21;-1,954872097;0,174531823;-2,256395138;1;;;;;
22;-2,268089006;0,183104419;13,40445029;1;;;;;
23;-1,904168889;0,18563418;-4,791555569;1;;;;;
24;-2,344365194;0,212864979;17,21825968;1;;;;;
25;-2,08479381;0,209864464;4,239690491;1;;;;;
26;-1,761992169;0,272616311;-11,90039157;1;;;;;
27;-2,013106847;0,204812538;0,655342337;1;;;;;
28;-1,819475921;0,171002655;-9,026203935;1;;;;;
29;-1,809227827;0,22243259;-9,538608668;1;;;;;
30;-1,849380497;0,158723369;-7,530975148;1;;;;;
31;-1,723660523;0,201177332;-13,81697384;1;;;;;
32;-1,868742592;0,202414151;-6,56287042;1;;;;;
33;-1,801857761;0,207827579;-9,907111949;1;;;;;
34;-2,107519832;0,20377086;5,375991606;1;;;;;
35;-1,684898051;0,195677768;-15,75509744;1;;;;;
36;-1,967980464;0,193073462;-1,60097679;1;;;;;
37;-2,170581519;0,187696552;8,529075974;1;;;;;
38;-1,652682418;0,188434297;-17,36587912;1;;;;;
39;-1,750471802;0,201087201;-12,47640991;1;;;;;
40;-2,19799298;0,198516119;9,899649019;1;;;;;
41;-1,734499513;0,166567687;-13,27502437;1;;;;;
42;-1,973537539;0,208926138;-1,32312303;1;;;;;
43;-1,767083716;0,241646202;-11,6458142;1;;;;;
44;-2,175773756;0,276217651;8,788687794;1;;;;;
45;-2,156393226;0,220376686;7,81966129;1;;;;;
46;-2,00023919;0,207040869;0,011959476;1;;;;;
47;-1,787639816;0,189421849;-10,61800922;1;;;;;
48;-1,693549844;0,206228531;-15,3225078;1;;;;;
49;-2,327896246;0,208152393;16,39481232;1;;;;;
50;-2,099774774;0,189708825;4,988738718;1;;;;;
51;-2,197620094;0,185564572;9,88100471;1;;;;;
52;-1,724130597;0,228297128;-13,79347016;1;;;;;
53;-1,699542274;0,218084997;-15,02288632;1;;;;;
54;-2,024926478;0,203735053;1,246323899;1;;;;;
55;-1,82508549;0,199614391;-8,745725505;1;;;;;
56;-1,968804829;0,215914232;-1,55975854;1;;;;;
57;-1,971703003;0,170690629;-1,414849838;1;;;;;
58;-1,704870041;0,180528178;-14,75649797;1;;;;;
59;-1,737011967;0,210084764;-13,14940164;1;;;;;
60;-1,931222206;0,187767913;-3,438889714;1;;;;;
61;-2,247489366;0,175511316;12,37446831;1;;;;;
62;-1,969019087;0,177162665;-1,549045626;1;;;;;
63;-1,982400412;0,179023794;-0,879979406;1;;;;;
64;-1,895051482;0,212317526;-5,247425879;1;;;;;
65;-2,03091594;0,167786199;1,545796979;1;;;;;
66;-1,684846758;0,166247882;-15,7576621;1;;;;;
67;-1,908228803;0,170472875;-4,588559853;1;;;;;
68;-1,939632464;0,198353894;-3,018376814;1;;;;;
69;-2,245287968;0,192334512;12,26439842;1;;;;;
70;-1,615414393;0,195287599;-19,22928037;0;;;;;
71;-2,204337472;0,22399019;10,21687361;1;;;;;
72;-2,033544634;0,227572289;1,677231703;1;;;;;
73;-1,941265148;0,178547982;-2,93674258;1;;;;;
74;-1,650450672;0,223608432;-17,47746642;1;;;;;
75;-1,68884773;0,188368333;-15,55761348;1;;;;;
76;-1,979505489;0,184873212;-1,024725565;1;;;;;
77;-2,396626984;0,215874477;19,83134919;1;;;;;
78;-2,08287574;0,20855469;4,143787002;1;;;;;
79;-2,096500224;0,240044614;4,825011217;1;;;;;
80;-1,819245233;0,198335649;-9,037738364;1;;;;;
81;-1,829973733;0,187661043;-8,501313367;1;;;;;
82;-2,121248036;0,183797184;6,062401819;1;;;;;
83;-1,803460146;0,197801467;-9,82699271;1;;;;;
84;-1,932344909;0,197707198;-3,382754568;1;;;;;
85;-1,786819552;0,208149937;-10,65902238;1;;;;;
86;-1,908898607;0,160335741;-4,555069647;1;;;;;
87;-2,064371639;0,189442254;3,21858194;1;;;;;
88;-2,213154003;0,210545348;10,65770014;1;;;;;
89;-1,830274432;0,175353362;-8,486278419;1;;;;;
90;-1,789594374;0,201437879;-10,52028132;1;;;;;
91;-1,677639701;0,165557324;-16,11801496;1;;;;;
92;-2,028462625;0,219290173;1,423131267;1;;;;;
93;-1,995249096;0,189609688;-0,237545222;1;;;;;
94;-2,178836588;0,18334234;8,941829419;1;;;;;
95;-2,05233215;0,230341976;2,616607495;1;;;;;
96;-1,74652802;0,216358124;-12,67359898;1;;;;;
97;-1,853285112;0,155969747;-7,335744402;1;;;;;
98;-1,73074607;0,186665395;-13,46269651;1;;;;;
99;-2,295121284;0,203874994;14,75606418;1;;;;;
100;-2,025212733;0,206207879;1,260636674;1;;;;;
101;-1,905527945;0,188605923;-4,723602774;1;;;;;
102;-1,817437365;0,159905461;-9,128131754;1;;;;;
103;-1,689312677;0,211352781;-15,53436617;1;;;;;
104;-2,034295815;0,238308117;1,714790768;1;;;;;
105;-2,019153816;0,195101235;0,957690797;1;;;;;
106;-1,725029238;0,206434977;-13,74853809;1;;;;;
107;-1,514248596;0,188686317;-24,28757022;0;;;;;
108;-1,942504286;0,202232826;-2,874785687;1;;;;;
109;-1,906663511;0,172469738;-4,666824473;1;;;;;
110;-1,773983167;0,205536418;-11,30084163;1;;;;;
111;-1,717428215;0,19076395;-14,12858927;1;;;;;
112;-1,986353104;0,203220963;-0,682344813;1;;;;;
113;-1,907676895;0,202315128;-4,616155271;1;;;;;
114;-2,117766288;0,186956055;5,888314412;1;;;;;
115;-2,023421516;0,21554766;1,171075802;1;;;;;
116;-1,995388117;0,197233932;-0,230594147;1;;;;;
117;-1,959049719;0,177131819;-2,047514041;1;;;;;
118;-1,928685123;0,217858952;-3,565743853;1;;;;;
119;-2,162071088;0,174029304;8,103554375;1;;;;;
120;-2,346069071;0,209420977;17,30345355;1;;;;;
121;-2,105277039;0,193277695;5,263851955;1;;;;;
122;-2,155505856;0,182219187;7,775292812;1;;;;;
123;-2,109940015;0,188722705;5,49700074;1;;;;;
124;-1,753130118;0,166138733;-12,3434941;1;;;;;
125;-1,932659741;0,178717504;-3,367012933;1;;;;;
126;-1,880677077;0,192831624;-5,966146139;1;;;;;
127;-2,250543144;0,196457068;12,52715721;1;;;;;
128;-1,674433867;0,185764414;-16,27830666;1;;;;;
129;-1,410377872;0,221779207;-29,48110641;0;;;;;
