"";"x"
"1";0,2132
"2";0,2246
"3";0,2262
"4";0,2266
"5";0,244
"6";0,2154
"7";0,2104
"8";0,2546
"9";0,2026
"10";0,2594
"11";0,2248
"12";0,2226
"13";0,2202
"14";0,2292
"15";0,2232
"16";0,222
"17";0,2284
"18";0,2202
"19";0,2172
"20";0,2292
"21";0,2128
"22";0,2414
"23";0,2124
"24";0,2252
"25";0,225
"26";0,2358
"27";0,2174
"28";0,267
"29";0,2368
"30";0,2288
"31";0,2202
"32";0,22
"33";0,2212
"34";0,2366
"35";0,2318
"36";0,2108
"37";0,2432
"38";0,2128
"39";0,2268
"40";0,2402
"41";0,2408
"42";0,241
"43";0,2184
"44";0,2156
"45";0,211
"46";0,2306
"47";0,2052
"48";0,2146
"49";0,231
"50";0,2356
"51";0,218
"52";0,2364
"53";0,2246
"54";0,2284
"55";0,2158
"56";0,2348
"57";0,2372
"58";0,2188
"59";0,2206
"60";0,217
"61";0,2224
"62";0,2164
"63";0,2332
"64";0,2174
"65";0,2276
"66";0,2244
"67";0,217
"68";0,2358
"69";0,22
"70";0,2282
"71";0,2228
"72";0,2234
"73";0,2272
"74";0,2266
"75";0,2444
"76";0,229
"77";0,223
"78";0,2146
"79";0,224
"80";0,2134
"81";0,2086
"82";0,2256
"83";0,2346
"84";0,2226
"85";0,246
"86";0,23
"87";0,203
"88";0,229
"89";0,2516
"90";0,2254
"91";0,232
"92";0,2244
"93";0,2446
"94";0,2156
"95";0,2374
"96";0,2094
"97";0,229
"98";0,2304
"99";0,2302
"100";0,2436
"101";0,2184
"102";0,2198
"103";0,2206
"104";0,2408
"105";0,2136
"106";0,2328
"107";0,2246
"108";0,2476
"109";0,232
"110";0,24
"111";0,2254
"112";0,24
"113";0,2248
"114";0,2484
"115";0,2344
"116";0,2554
"117";0,2324
"118";0,2232
"119";0,2398
"120";0,2102
"121";0,2494
"122";0,2362
"123";0,2322
"124";0,2282
"125";0,2222
"126";0,2216
"127";0,2274
"128";0,2442
"129";0,2398
"130";0,2122
"131";0,209
"132";0,213
"133";0,2436
"134";0,2342
"135";0,2312
"136";0,2268
"137";0,2368
"138";0,2432
"139";0,217
"140";0,2494
"141";0,233
"142";0,2248
"143";0,2262
"144";0,225
"145";0,234
"146";0,2122
"147";0,2468
"148";0,225
"149";0,23
"150";0,2258
"151";0,2376
"152";0,2334
"153";0,2214
"154";0,2222
"155";0,2334
"156";0,2212
"157";0,2364
"158";0,229
"159";0,2278
"160";0,2402
"161";0,234
"162";0,2016
"163";0,2402
"164";0,2338
"165";0,2208
"166";0,2216
"167";0,2242
"168";0,235
"169";0,23
"170";0,247
"171";0,2476
"172";0,232
"173";0,2344
"174";0,212
"175";0,213
"176";0,2282
"177";0,208
"178";0,2196
"179";0,226
"180";0,2372
"181";0,2354
"182";0,2202
"183";0,2228
"184";0,2282
"185";0,233
"186";0,2114
"187";0,2072
"188";0,2248
"189";0,196
"190";0,2196
"191";0,23
"192";0,2414
"193";0,237
"194";0,247
"195";0,2292
"196";0,2538
"197";0,2172
"198";0,2264
"199";0,2492
"200";0,2126
"201";0,2306
"202";0,2136
"203";0,211
"204";0,2358
"205";0,2328
"206";0,2206
"207";0,2216
"208";0,2254
"209";0,223
"210";0,2312
"211";0,205
"212";0,2178
"213";0,2388
"214";0,2184
"215";0,2264
"216";0,224
"217";0,2532
"218";0,2198
"219";0,2208
"220";0,2318
"221";0,2098
"222";0,2414
"223";0,2282
"224";0,2118
"225";0,2218
"226";0,2462
"227";0,2168
"228";0,2256
"229";0,242
"230";0,2398
"231";0,2292
"232";0,2226
"233";0,237
"234";0,2302
"235";0,2236
"236";0,2248
"237";0,2196
"238";0,2276
"239";0,2214
"240";0,2294
"241";0,2148
"242";0,2416
"243";0,249
"244";0,2084
"245";0,214
"246";0,247
"247";0,2448
"248";0,221
"249";0,2356
"250";0,2188
"251";0,2312
"252";0,244
"253";0,2094
"254";0,2268
"255";0,2356
"256";0,2168
"257";0,2236
"258";0,224
"259";0,224
"260";0,2402
"261";0,2416
"262";0,2284
"263";0,2122
"264";0,252
"265";0,2344
"266";0,2414
"267";0,2092
"268";0,226
"269";0,2428
"270";0,2366
"271";0,24
"272";0,2232
"273";0,2326
"274";0,215
"275";0,2522
"276";0,229
"277";0,235
"278";0,225
"279";0,232
"280";0,1898
"281";0,2216
"282";0,2236
"283";0,2204
"284";0,244
"285";0,229
"286";0,2154
"287";0,2064
"288";0,2374
