;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
110;-2,160198076;0,082827076;8,009903777;0;;;;;
111;-1,976602354;0,078319725;-1,169882323;1;;;;;
112;-2,115525358;0,0770065;5,776267923;1;;;;;
113;-1,963656205;0,074737424;-1,817189743;1;;;;;
114;-1,933639234;0,08664566;-3,318038312;1;;;;;
115;-2,078525396;0,078233645;3,926269779;1;;;;;
116;-2,021704916;0,092821504;1,085245812;1;;;;;
117;-1,980205412;0,079136528;-0,989729376;1;;;;;
118;-2,033684452;0,077501786;1,68422258;1;;;;;
119;-1,902734916;0,081656443;-4,86325418;1;;;;;
120;-1,886468264;0,070052975;-5,676586812;1;;;;;
121;-2,116432486;0,086035656;5,821624304;1;;;;;
122;-2,047062509;0,083041622;2,353125434;1;;;;;
123;-1,848928089;0,084179639;-7,55359556;1;;;;;
124;-2,058101171;0,074555037;2,905058562;1;;;;;
125;-2,040647041;0,078402407;2,032352061;1;;;;;
126;-1,883996624;0,071676471;-5,800168808;1;;;;;
127;-2,040113389;0,07800786;2,00566943;1;;;;;
128;-1,949866885;0,082574179;-2,506655752;1;;;;;
129;-1,996161696;0,084146055;-0,191915188;1;;;;;
130;-1,972266204;0,07915219;-1,386689794;1;;;;;
131;-2,021045938;0,074919372;1,052296896;1;;;;;
132;-1,883615494;0,077194302;-5,819225286;1;;;;;
133;-2,09843833;0,084381741;4,921916503;1;;;;;
134;-1,969978174;0,077443601;-1,501091289;1;;;;;
135;-1,993459035;0,073746461;-0,327048275;1;;;;;
136;-1,97260891;0,077788567;-1,369554479;1;;;;;
137;-1,974482353;0,08213041;-1,275882332;1;;;;;
138;-1,975495073;0,080195906;-1,225246356;1;;;;;
139;-2,041746363;0,074533437;2,087318161;1;;;;;
140;-2,062605999;0,085571892;3,130299939;1;;;;;
141;-2,012994659;0,079290717;0,649732942;1;;;;;
142;-2,064302525;0,078905712;3,215126227;1;;;;;
143;-2,061364213;0,080487455;3,068210674;1;;;;;
144;-1,952195334;0,076203541;-2,390233319;1;;;;;
145;-1,867726757;0,079244347;-6,613662142;1;;;;;
146;-1,98906942;0,07612959;-0,546528977;1;;;;;
147;-2,084263423;0,086060947;4,213171162;1;;;;;
148;-2,114119294;0,079507196;5,705964684;1;;;;;
149;-2,062673766;0,078485877;3,133688316;1;;;;;
150;-1,989825743;0,078081053;-0,508712855;1;;;;;
151;-1,929934658;0,082314628;-3,503267119;1;;;;;
152;-1,850601847;0,080225364;-7,469907661;1;;;;;
153;-2,067717811;0,074693886;3,385890553;1;;;;;
154;-1,996350192;0,076099068;-0,182490387;1;;;;;
155;-2,051999382;0,082859721;2,599969082;1;;;;;
156;-1,992318863;0,076500924;-0,384056856;1;;;;;
157;-1,902090359;0,082092035;-4,895482047;1;;;;;
158;-1,969510536;0,076937087;-1,524473176;1;;;;;
159;-2,02846544;0,074055884;1,423272003;1;;;;;
160;-1,892859356;0,081802692;-5,357032206;1;;;;;
161;-2,045190587;0,078823864;2,259529358;1;;;;;
162;-1,892199227;0,070965214;-5,390038667;1;;;;;
163;-1,950511531;0,080033713;-2,474423473;1;;;;;
164;-1,956132463;0,0782471;-2,193376836;1;;;;;
165;-1,990766999;0,079177344;-0,461650071;1;;;;;
166;-1,941646769;0,073891576;-2,917661529;1;;;;;
167;-1,935784025;0,07486096;-3,210798775;1;;;;;
168;-2,002984033;0,080363492;0,149201675;1;;;;;
169;-1,927354097;0,080836538;-3,63229516;1;;;;;
170;-2,106168737;0,08582935;5,308436872;1;;;;;
171;-2,031109194;0,087513818;1,555459695;1;;;;;
172;-1,921633908;0,077410602;-3,918304589;1;;;;;
173;-1,965615613;0,079901291;-1,71921937;1;;;;;
174;-2,002027685;0,072775965;0,101384266;1;;;;;
175;-2,080211484;0,07419554;4,010574215;1;;;;;
176;-1,963840965;0,081552132;-1,80795177;1;;;;;
177;-2,006512969;0,069640669;0,325648439;1;;;;;
178;-1,962341191;0,074637949;-1,882940444;1;;;;;
179;-1,978106277;0,076763044;-1,094686145;1;;;;;
180;-1,905992211;0,079638268;-4,700389446;1;;;;;
181;-2,001121518;0,084584959;0,056075897;1;;;;;
182;-1,887938592;0,075822928;-5,603070401;1;;;;;
183;-2,00230553;0,076416596;0,115276487;1;;;;;
184;-2,03320047;0,076992975;1,660023518;1;;;;;
185;-2,010488543;0,07586549;0,524427168;1;;;;;
186;-1,960554452;0,074418989;-1,972277404;1;;;;;
187;-1,993440027;0,073618597;-0,327998654;1;;;;;
188;-1,882228977;0,083419085;-5,888551157;1;;;;;
189;-2,044435498;0,0730894;2,221774916;1;;;;;
190;-2,009726488;0,075466892;0,486324389;1;;;;;
191;-2,022561139;0,079423432;1,128056972;1;;;;;
192;-1,997480433;0,084502147;-0,125978367;1;;;;;
193;-1,985039441;0,085679971;-0,748027937;1;;;;;
194;-1,897072183;0,0881605;-5,14639086;1;;;;;
195;-1,95917358;0,076148011;-2,041321017;1;;;;;
196;-2,061416501;0,085993475;3,070825066;1;;;;;
197;-2,013024042;0,073683638;0,651202119;1;;;;;
198;-2,013987284;0,078116831;0,699364179;1;;;;;
