;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
113;1,084521724;1,524965758;-78,30956552;1;;;;;
114;1,674750963;2,289432511;-66,50498073;1;;;;;
115;2,488064881;2,472967349;-50,23870237;1;;;;;
116;0,95639366;1,364209743;-80,87212681;0;;;;;
117;2,233869061;2,349484403;-55,32261878;1;;;;;
118;2,07058268;2,644601948;-58,58834639;1;;;;;
119;1,254735713;1,685088008;-74,90528573;1;;;;;
120;1,316167215;1,627211945;-73,6766557;1;;;;;
121;2,542853573;2,632254298;-49,14292853;1;;;;;
122;1,23279117;1,436618985;-75,34417661;1;;;;;
123;3,232732147;2,978401872;-35,34535707;1;;;;;
124;1,487352109;2,056248426;-70,25295782;1;;;;;
125;2,04612507;2,018921153;-59,0774986;1;;;;;
126;0,776036416;1,056483919;-84,47927167;0;;;;;
127;1,423394322;2,019031901;-71,53211356;1;;;;;
128;1,677667771;2,197175559;-66,44664458;1;;;;;
129;1,070210251;1,447783566;-78,59579498;1;;;;;
130;1,037489523;1,37579952;-79,25020955;1;;;;;
131;1,69111578;2,479720183;-66,1776844;1;;;;;
132;2,255560575;2,569915064;-54,88878851;1;;;;;
133;0,986465199;1,308651385;-80,27069603;0;;;;;
134;1,257207798;1,691108201;-74,85584405;1;;;;;
135;1,192740183;1,776075067;-76,14519635;1;;;;;
136;2,277539872;2,714898202;-54,44920256;1;;;;;
137;0,954128194;1,247479034;-80,91743612;0;;;;;
138;1,23585229;1,669000757;-75,28295419;1;;;;;
139;0,622859607;0,853283768;-87,54280785;0;;;;;
140;1,163379708;1,776494836;-76,73240584;1;;;;;
141;1,33901636;1,702496687;-73,21967279;1;;;;;
142;0,787629067;1,127806397;-84,24741866;0;;;;;
143;0,942873747;1,359250049;-81,14252506;0;;;;;
144;1,187769046;1,751350251;-76,24461908;1;;;;;
145;0,812800181;1,075489904;-83,74399638;0;;;;;
146;1,832671853;2,074751953;-63,34656295;1;;;;;
147;1,179980171;1,660670357;-76,40039657;1;;;;;
148;1,939643916;2,40154612;-61,20712168;1;;;;;
149;0,927222574;1,248477238;-81,45554852;0;;;;;
150;1,989284798;2,163596483;-60,21430405;1;;;;;
151;0,884161572;1,20273875;-82,31676855;0;;;;;
152;1,087690597;1,503504179;-78,24618807;1;;;;;
153;0,842611287;1,202752102;-83,14777426;0;;;;;
154;1,276389078;1,775840031;-74,47221843;1;;;;;
155;1,091127569;1,672173072;-78,17744862;1;;;;;
156;1,551166782;1,641739665;-68,97666436;1;;;;;
157;0,784086998;1,135253315;-84,31826005;0;;;;;
158;2,172383405;2,654016961;-56,55233191;1;;;;;
159;1,39909646;1,74278189;-72,01807081;1;;;;;
160;0,825553257;1,079596576;-83,48893486;0;;;;;
161;1,85794444;2,49602481;-62,84111121;1;;;;;
162;1,895379038;2,424634112;-62,09241923;1;;;;;
163;2,645596635;2,822831739;-47,08806731;1;;;;;
164;0,91613155;1,281194144;-81,677369;0;;;;;
