"";"x"
"1";0,29
"2";0,33
"3";0,34
"4";0,33
"5";0,32
"6";0,36
"7";0,24
"8";0,3
"9";0,26
"10";0,25
"11";0,34
"12";0,29
"13";0,37
"14";0,2
"15";0,35
"16";0,35
"17";0,33
"18";0,34
"19";0,3
"20";0,33
"21";0,41
"22";0,27
"23";0,32
"24";0,35
"25";0,36
"26";0,37
"27";0,39
"28";0,23
"29";0,31
"30";0,26
"31";0,25
"32";0,31
"33";0,32
"34";0,25
"35";0,25
"36";0,32
"37";0,44
"38";0,33
"39";0,33
"40";0,23
"41";0,3
"42";0,17
"43";0,31
"44";0,3
"45";0,34
"46";0,43
"47";0,25
"48";0,37
"49";0,31
"50";0,29
"51";0,33
"52";0,33
"53";0,31
"54";0,37
"55";0,33
"56";0,32
"57";0,29
"58";0,26
"59";0,23
"60";0,33
"61";0,25
"62";0,36
"63";0,26
"64";0,27
"65";0,3
"66";0,33
"67";0,32
"68";0,29
"69";0,28
"70";0,31
"71";0,35
"72";0,24
"73";0,25
"74";0,45
"75";0,34
"76";0,29
"77";0,24
"78";0,33
"79";0,19
"80";0,34
"81";0,33
"82";0,34
"83";0,3
"84";0,25
"85";0,35
"86";0,23
"87";0,29
"88";0,26
"89";0,36
"90";0,27
"91";0,26
"92";0,23
"93";0,32
"94";0,38
"95";0,26
"96";0,22
"97";0,39
"98";0,3
"99";0,34
"100";0,32
"101";0,21
"102";0,21
"103";0,35
"104";0,29
"105";0,39
"106";0,26
"107";0,25
"108";0,36
"109";0,26
"110";0,31
"111";0,33
"112";0,38
"113";0,25
"114";0,33
"115";0,31
"116";0,28
"117";0,23
"118";0,26
"119";0,39
"120";0,3
"121";0,33
"122";0,21
"123";0,32
"124";0,28
"125";0,25
"126";0,34
"127";0,36
"128";0,37
"129";0,29
"130";0,26
"131";0,47
"132";0,21
"133";0,31
"134";0,44
"135";0,25
"136";0,33
"137";0,39
"138";0,17
"139";0,29
"140";0,21
"141";0,33
"142";0,17
"143";0,29
"144";0,22
"145";0,26
"146";0,38
"147";0,32
"148";0,29
"149";0,28
"150";0,42
"151";0,28
"152";0,3
"153";0,19
"154";0,26
"155";0,23
"156";0,31
"157";0,27
"158";0,3
"159";0,37
"160";0,32
"161";0,32
"162";0,34
"163";0,28
"164";0,34
"165";0,3
"166";0,34
"167";0,23
"168";0,27
"169";0,28
"170";0,36
"171";0,25
"172";0,27
"173";0,31
"174";0,29
"175";0,2
"176";0,28
"177";0,38
"178";0,39
"179";0,38
"180";0,22
"181";0,29
"182";0,34
"183";0,34
"184";0,3
"185";0,34
"186";0,25
"187";0,34
"188";0,28
"189";0,31
"190";0,26
"191";0,42
"192";0,33
"193";0,32
"194";0,19
"195";0,25
"196";0,37
