"";"alpha";"beta";"lambda";"lp"
"1";1077,34214609358;993,343407369317;1043,35117527467;1819,02635029398
"2";1218,43383189934;1186,79216366877;1286,02684187214;1824,79214891461
"3";1265,1153707166;1258,84438272022;1312,74770676792;1952,39207670217
"4";1338,63159962944;1335,08264802725;1484,67325335609;1912,51156692109
"5";1397,62753106621;1282,46624708104;1321,74605823138;1904,43726019947
"6";1178,31644152738;1150,40945735767;1203,73029063152;1758,10439077917
"7";1300,86629299737;1250,71807580099;1356,29931123854;1822,72769026185
"8";1484,32075959998;1414,31810976519;1489,62388869828;1829,2388911788
"9";1314,73947970693;1341,43067263261;1412,44319046684;1877,22390933311
"10";1475,53767798656;1323,66780665045;1346,00531914737;1826,28813516052
"11";1353,55869603329;1247,34744767052;1319,0599823769;1939,13295987249
"12";1364,53487306753;1288,95922654624;1330,88755384123;1768,48493024098
"13";1213,10763890537;1125,52325471691;1203,96485383038;1600,0325112676
"14";1273,72143755832;1183,65559930129;1276,05330121608;1900,9508572063
"15";1300,63225845337;1192,56870599088;1267,994645968;2503,14399105511
"16";1365,86127873971;1300,43340444523;1387,67476835396;1776,27326347734
"17";1501,72184062195;1422,90683714249;1541,33934275745;2010,34865155725
"18";1159,94169771398;1016,57559284363;1147,94762113921;2200,92209066386
"19";1462,3950955058;1351,72173102805;1433,24100127751;1455,71123272201
"20";1114,37018169369;1025,50596200143;1083,8623559574;1527,31426655404
"21";1128,77842377153;1061,75633462415;1153,81416148181;1706,92226818543
"22";1496,03860866238;1421,50685015316;1505,1440047162;2070,080051811
"23";1180,69166577882;1093,73201192329;1166,98956444829;2136,26009138638
"24";1353,22674252606;1252,86205886947;1304,04420608888;1897,23177350352
"25";1349,5360749012;1265,60519023244;1352,20654115114;1626,21337817557
"26";902,187654031909;942,851646146554;1029,46078548585;906,783851779824
"27";1181,34104761319;1122,5187734296;1180,83056371275;1354,24328927569
"28";1442,33910424491;1366,47457024488;1415,68081423289;1754,47507171991
"29";1240,70879015201;1113,05664650054;1134,66988333639;1652,52316514319
"30";1502,2980111745;1326,28350699463;1363,97299359825;2003,50028059737
"31";1459,4519922489;1394,30957083581;1477,24522148472;1859,95243935231
"32";1323,82809926306;1286,79709607169;1395,40209085747;1893,48256271047
"33";1323,45810940593;1118,47845093836;1109,99062501483;2046,51328597894
"34";1172,78988553748;1066,01757359291;1105,94345566836;1642,01062291019
"35";1378,77325306831;1246,9215908023;1286,12225081585;2071,07852092734
"36";1431,76382444671;1376,78588733378;1451,19302835659;1633,50409241592
"37";1381,96270631806;1229,12626032665;1300,40686464622;2185,10351144325
"38";1181,80742815746;1090,24494556734;1104,22340799126;1743,64060822029
"39";1120,47870497041;1104,56490749653;1206,57759737386;1880,36904268248
"40";1415,19516503131;1303,30774749339;1375,600237134;2284,84443288304
"41";1460,85675912311;1314,81291196391;1359,05247125236;2142,839961017
"42";1661,71777466268;1500,62718021041;1572,07309187704;1765,88537538622
"43";1202,03674147606;1162,39937905798;1218,46976630295;1672,39445922875
"44";1296,46707172216;1254,02260175368;1330,49202106138;1773,39698698375
"45";1453,03817365134;1314,47605337503;1356,56400890777;1888,39172620582
"46";1371,9553193631;1216,28276299746;1260,17494446275;2193,28363476297
"47";1470,77516565176;1428,02667880032;1544,93168790235;1731,88973022135
"48";1451,99811009018;1330,52977997232;1362,96956998632;1723,6157309627
"49";1502,04651341189;1373,7164940704;1456,67440465078;1740,38836200512
"50";1207,39165710445;1033,8863433339;1102,4756506656;1906,36970351807
"51";1342,5246773782;1210,82907337201;1252,66065119897;1299,67550259076
"52";1509,93028913359;1394,6629731153;1408,60749298111;1694,68063099806
"53";1199,45759681955;1116,00383723867;1147,38562193101;1477,47399420678
"54";1311,12122652099;1247,7311974514;1386,13595542903;2589,41479910284
"55";1144,81415615481;1060,52241043181;1109,57919840829;1790,38592253887
"56";1292,0563698006;1233,06016219373;1307,80521139685;1641,65570337629
"57";1401,64792008307;1321,44463424709;1335,96796582339;1984,08646255623
"58";1175,26088804987;1145,94438634173;1186,72224308786;1983,59791468051
"59";1239,48945061438;1218,73190487739;1298,08307109355;1862,81682574113
"60";1197,83939672338;1104,8271105791;1197,30108359687;2263,03605548955
"61";1395,27823918215;1203,32643025215;1227,47744620886;1891,09567933384
"62";1381,12607235108;1326,46596223734;1448,47832936968;1934,99800864641
"63";1240,65226386516;1116,84999118263;1198,62638420614;2373,01838639443
"64";1025,08928090907;880,151789213705;973,69601677938;1132,99327289587
"65";1459,59132105262;1289,84574192637;1340,12043946382;2074,57355472914
"66";1667,34497768561;1533,144613349;1581,11352768377;1884,54710266269
"67";1255,61246930401;1205,87130572771;1305,89604251882;1629,21589641478
"68";1258,10071950445;1192,66483351933;1278,30948785483;1916,6032866096
"69";1169,89275809046;1044,89846579124;1119,59615476957;1314,26468723869
"70";1176,85385137138;1132,85251228122;1205,46186643642;1371,56327136512
"71";1263,63458217371;1208,05365495708;1304,43605788985;1663,14255680453
"72";1276,49974979036;1161,90049747294;1208,67954267073;1728,48416221431
"73";1170,71880728214;1082,76121370342;1157,75917882618;1854,45596358455
"74";1184,76208843697;1161,81622594737;1219,46199912263;1583,00561635973
"75";1186,62372656284;1053,73808779611;1089,51915978816;1728,56937832186
"76";1319,50645316305;1127,30908770698;1144,25420436933;2074,10616976748
"77";1259,41665414956;1190,73808298613;1277,17657557608;1485,98336228459
"78";1396,10241578683;1364,3736149252;1472,48772868744;1442,03701409624
"79";1477,57472687089;1397,78935356511;1476,41861408509;1833,50628435414
"80";1168,22643834333;1075,199242201;1103,16739459833;1705,55722438238
"81";1313,34016295952;1275,10019750117;1366,76516437078;2097,98558788166
"82";1567,56728764594;1427,97972342492;1448,52076835729;2172,72297012529
"83";1221,90513043488;1137,33969958971;1200,41273890895;1793,28351836238
"84";1083,76209909216;977,633775974897;1030,56048710098;1850,65747627664
"85";1236,51977574552;1066,7192942207;1081,36893367651;1746,89684049977
"86";1448,11732313636;1348,39131237146;1433,21490158808;2194,97363109092
"87";1267,58866342573;1096,86669985619;1143,98811600356;1904,26187557805
"88";1435,1474880587;1329,27486538652;1400,13902907137;2284,99060421526
"89";1537,32510120724;1441,33374031545;1515,78382511824;1757,20536668667
"90";1246,10614325279;1212,04347368062;1292,35315126153;2215,04077625552
"91";1268,7260183611;1193,54645625662;1276,58583956453;2189,39992239196
"92";1187,93071965538;1101,33797816401;1131,94386163522;1523,82111140148
"93";1378,27164253026;1272,46675865207;1326,16563294194;1991,23205476805
"94";1316,26404504507;1287,88764977613;1376,59056982909;2279,94843322967
"95";1463,9226695794;1247,23877988752;1314,00120179417;1491,91326191591
"96";1493,18386980497;1414,04019416313;1466,12075520869;1829,33987279712
"97";1234,74209258245;1148,0266830768;1272,50961276187;2042,96273820926
"98";1147,85261282183;1030,34126761813;1068,24405779709;1685,95755144452
"99";1241,57894707461;1173,20025623011;1245,99580813595;1982,35924998263
"100";1447,2692950851;1336,69629164011;1389,50245497073;1842,37078114268
"101";1408,87816028022;1258,3323955019;1298,38653972045;1696,58315607624
"102";1341,29454762793;1191,14147547582;1278,74654648627;1895,22412296297
"103";1295,46655314536;1198,64679252212;1283,70707567427;1659,25139121821
"104";1334,99688017114;1283,50599129596;1337,96855546313;2005,31999219772
"105";1251,33586529102;1205,2604212547;1302,65123097724;1835,90902527238
"106";1213,37378832781;1142,8732730075;1214,61041227486;1694,93003661039
"107";1400,98267920561;1290,39745608578;1347,84710479295;1854,28352803999
"108";1357,90413593773;1222,85303086148;1273,96569663323;1399,14778765719
"109";1245,33708556678;1144,62615021976;1223,82183266651;1804,61481568476
"110";1320,42343890266;1262,99862309694;1335,11585086581;1721,60626205239
"111";1304,27347455291;1240,00982447353;1287,37308062439;1939,26733339866
"112";1381,40611557816;1270,14195250938;1312,48849919286;1765,87927394634
"113";1556,91133847119;1420,37798405828;1464,67912600816;1700,08200398469
"114";1190,39790260487;1038,57875999276;1103,19553301344;2096,0410553905
"115";1369,96024992832;1257,24480926687;1317,5530602619;1884,07009747186
"116";1321,2427969656;1253,25765035197;1349,9847112681;2087,44084829695
"117";1199,27296528304;1010,1664159877;1005,4531522992;1956,97672235319
"118";1390,47321374029;1344,84350151669;1398,9771751141;1837,38531681883
"119";1554,73910043969;1457,094176358;1567,56412093837;1951,22638844214
"120";1274,56793301492;1233,13160071613;1405,46609859803;1946,29300147272
"121";1108,62116254903;1094,3065361412;1163,83912279784;1582,37327551967
"122";1062,07232417716;940,812392673487;977,983154137269;1897,71472215273
"123";1157,66269577467;1044,23754831596;1124,95340484022;1703,52010531459
"124";1336,10662177417;1259,85156727041;1315,44289601898;2145,97982281472
"125";1407,48055295107;1287,1051134441;1360,84737971502;1945,24422832736
"126";1441,39043607483;1359,65387459116;1425,51630162824;1860,76048189574
"127";1397,35689743258;1307,01830471747;1394,4704014675;1854,52610112049
"128";1363,5864265513;1325,90220186809;1402,7316411919;1712,7982031281
"129";1281,80377508895;1183,01567526647;1247,95341750512;1807,23870310109
"130";1238,84318440397;1208,6079074544;1317,64692769972;2259,63482026216
"131";1250,82333025479;1177,27464226705;1237,46736919555;1554,47088394384
"132";1182,74469255877;1094,08874851488;1156,86430652194;2192,86486159634
"133";994,166972700137;966,512082660969;1137,79133596853;1589,69121812601
"134";1286,92986562134;1213,25455611456;1267,24415331046;1957,58329955788
"135";1198,95993316235;1224,56579655138;1346,57176819803;1952,30806807139
"136";657,177381623234;732,223533610861;804,455224802528;879,155386352382
"137";1325,63010881649;1192,77168487979;1245,29178701509;2115,63874049981
"138";1091,98510366877;995,269777694369;1030,60558225963;2204,78155454853
"139";1252,43715892045;1104,56124262594;1125,75628200642;1647,65946391126
"140";1277,85802159992;1152,69323786552;1221,0459418795;2056,56277900699
"141";1134,32727492642;1094,07140008142;1148,48695894543;1672,49955664308
"142";1176,12518233632;1113,6326933068;1193,65170330207;1553,88175362284
"143";1144,30146099609;1096,45049227203;1190,74081345695;1804,94088949575
"144";1502,98089350192;1356,25861906968;1421,1922482257;2048,25050854806
"145";1361,94172548469;1304,3213972736;1333,4912365007;1854,37944965251
"146";1362,59176229103;1192,95959677686;1281,74053860178;1854,23229213081
"147";1304,20824166176;1259,64850486313;1307,06423479851;1340,71193602235
"148";1247,0817746654;1235,49076324521;1321,26584943486;2111,56964883078
"149";1240,21211668485;1169,56761164247;1235,30860540989;1272,32085327833
"150";1165,13475578658;1130,59270603793;1178,02469048618;1478,64704834784
"151";1443,37793547431;1293,45193937843;1330,96660545389;1516,60377746924
"152";1557,27346420941;1475,77089973881;1557,84320250787;2139,91514194224
"153";1414,86632113006;1263,17961757345;1321,85286435946;1851,09311326851
"154";1432,85301377978;1315,45404095126;1356,12691500919;1809,89287317299
"155";867,211174887867;850,34885471405;900,443682091923;1338,23392870839
"156";1343,51413395223;1236,2374096574;1305,08378622067;1832,32168406545
"157";1260,49551382474;1205,21027240271;1290,41086419649;1537,05775679112
"158";1379,52151050028;1313,58592824943;1366,24056109995;1763,01825929532
"159";1293,4222808431;1190,10970215517;1224,3123186575;1809,93373775392
"160";1358,63956195819;1267,14996466711;1358,92378054303;2097,16991796015
"161";1138,01003126702;1080,59869434103;1148,16145348083;1658,59605053889
"162";1244,74000280687;1122,76332580497;1204,64896479252;1644,10347589898
"163";989,933641391722;972,828056120848;1035,89091018773;1240,46227842866
"164";1434,01509269958;1330,91987207026;1396,10485312791;1769,84920261599
"165";1247,27982775812;1166,14834806745;1232,39644392693;2200,04471697019
"166";1497,91027075858;1325,01463118527;1374,89181622559;1916,68608078057
"167";1118,89980958595;975,954561446471;993,930727871387;1732,77592909672
"168";1324,57286144148;1220,25306957747;1288,24776369059;1772,99271814524
"169";1175,25877903134;1047,31222687407;1117,66976897037;1964,31898443056
"170";1400,1922292502;1314,58305446726;1441,49476172054;1860,49676281679
"171";1036,83081241241;978,679972212674;1045,09140820882;1800,50783850428
"172";1315,94212563338;1219,21242563452;1298,80748358854;2071,96586161526
"173";1321,6273053534;1270,156681122;1345,08018565879;1807,525119889
"174";1405,64663637779;1295,94013975471;1343,74103019376;2261,86485075808
"175";1126,66684971213;1060,8749317109;1146,42369141475;1727,11182026943
"176";1129,84374799164;1091,05107136341;1134,02786636512;1813,43350016403
"177";1148,31271153654;1037,94316726258;1101,95412836192;2265,83282422453
