;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
113;0,328920442;0,553263288;-83,5539779;0;;;;;
114;0,538195143;0,862723387;-73,09024286;1;;;;;
115;0,90143447;1,158045856;-54,9282765;1;;;;;
116;0,384577326;0,64288209;-80,77113371;1;;;;;
117;0,723277553;0,952697391;-63,83612233;1;;;;;
118;0,440833669;0,680135516;-77,95831655;1;;;;;
119;0,516568491;0,833931094;-74,17157546;1;;;;;
120;0,692765917;1,043317416;-65,36170415;1;;;;;
121;1,235065428;1,589030124;-38,24672859;1;;;;;
122;0,406475776;0,570666187;-79,67621119;1;;;;;
123;1,835493442;2,198520917;-8,225327902;1;;;;;
124;0,519174476;0,865999348;-74,04127618;1;;;;;
125;0,808617103;0,994101797;-59,56914487;1;;;;;
126;0,566193293;0,901138134;-71,69033533;1;;;;;
127;0,697457455;1,18604679;-65,12712725;1;;;;;
128;0,501498237;0,829331291;-74,92508815;1;;;;;
129;0,643833978;1,019079646;-67,80830111;1;;;;;
130;0,557925975;0,892170596;-72,10370123;1;;;;;
131;0,596626437;1,044825099;-70,16867816;1;;;;;
132;0,618209686;0,891299423;-69,0895157;1;;;;;
133;0,274450575;0,435340585;-86,27747127;0;;;;;
134;0,349823437;0,543330259;-82,50882815;0;;;;;
135;0,431882478;0,831707772;-78,4058761;1;;;;;
136;1,133343172;1,675857586;-43,33284139;1;;;;;
137;0,322814439;0,50120609;-83,85927806;0;;;;;
138;0,776298502;1,356318456;-61,18507491;1;;;;;
139;0,238016255;0,374350793;-88,09918723;0;;;;;
140;0,635332605;1,09812447;-68,23336974;1;;;;;
141;0,584607406;0,894051122;-70,76962971;1;;;;;
142;0,308593633;0,515022088;-84,57031834;0;;;;;
143;0,344116047;0,566534192;-82,79419765;0;;;;;
144;0,366074795;0,614366;-81,69626023;1;;;;;
145;0,353245857;0,549537125;-82,33770717;0;;;;;
146;0,597323028;0,832322411;-70,1338486;1;;;;;
147;0,247351782;0,401070681;-87,63241091;0;;;;;
148;0,81256744;1,201856731;-59,37162798;1;;;;;
149;0,271981622;0,4247794;-86,40091892;0;;;;;
150;0,763501006;1,011625457;-61,82494972;1;;;;;
151;0,470696151;0,735032156;-76,46519243;1;;;;;
152;0,28558956;0,455646619;-85,72052201;0;;;;;
153;0,298014275;0,492602309;-85,09928624;0;;;;;
154;0,698280312;1,169093978;-65,08598441;1;;;;;
155;0,47767746;0,854976015;-76,11612698;1;;;;;
156;0,681910723;0,891076147;-65,90446384;1;;;;;
157;0,395361117;0,661510056;-80,23194414;1;;;;;
158;0,640306769;0,945945557;-67,98466153;1;;;;;
