;mean;sd;bias;cp;;Mean means;Mean Sds;Mean bias;Mean CP
110;-1,393979131;0,792650792;-30,30104343;1;;;;;
111;-1,436368836;0,821004109;-28,18155818;1;;;;;
112;0,562769302;1,16221666;-128,1384651;0;;;;;
113;-0,888041317;0,83190009;-55,59793417;1;;;;;
114;-0,863553578;0,675468922;-56,82232111;1;;;;;
115;-0,23414951;1,098400505;-88,29252452;1;;;;;
116;-1,31346126;1,118386549;-34,32693702;1;;;;;
117;-0,843807241;0,896235695;-57,80963795;1;;;;;
118;-1,62198038;1,162269024;-18,900981;1;;;;;
119;-0,991343234;0,789402772;-50,4328383;1;;;;;
120;-0,650579824;0,646844106;-67,47100882;1;;;;;
121;-0,457221958;1,361781993;-77,13890208;1;;;;;
122;-1,400958257;0,725130574;-29,95208715;1;;;;;
123;0,104219858;0,76637536;-105,2109929;0;;;;;
124;0,268454161;1,008877447;-113,4227081;0;;;;;
125;-0,805698765;0,854208373;-59,71506173;1;;;;;
126;-0,748778214;0,944744774;-62,56108932;1;;;;;
127;-0,656815451;0,599360923;-67,15922744;0;;;;;
128;-1,345192149;1,296534677;-32,74039255;1;;;;;
129;-2,245330085;0,91479451;12,26650427;1;;;;;
130;-1,170982028;1,165002065;-41,45089861;1;;;;;
131;-0,341180063;0,975701677;-82,94099684;1;;;;;
132;-1,265791194;1,028707889;-36,7104403;1;;;;;
133;-1,187926733;1,054502449;-40,60366334;1;;;;;
134;-2,557771046;1,126406887;27,88855231;1;;;;;
135;-0,793368067;0,932561948;-60,33159667;1;;;;;
136;-3,404298883;1,141516322;70,21494415;1;;;;;
137;-0,701636447;1,072488216;-64,91817767;1;;;;;
138;-0,832757331;0,825360828;-58,36213344;1;;;;;
139;-1,198347627;0,750753139;-40,08261863;1;;;;;
140;-1,188671522;0,72179119;-40,56642391;1;;;;;
141;-0,111083127;0,997843486;-94,44584367;1;;;;;
142;-0,814751036;0,771146681;-59,26244818;1;;;;;
143;-0,274247877;1,063540595;-86,28760617;1;;;;;
144;-0,282880179;0,912918865;-85,85599106;1;;;;;
145;-1,450270065;0,876899621;-27,48649675;1;;;;;
146;-1,22029228;1,016703471;-38,985386;1;;;;;
147;1,534426729;1,325647759;-176,7213365;0;;;;;
148;0,369196839;1,049626185;-118,459842;0;;;;;
149;-1,348592463;0,545543311;-32,57037685;1;;;;;
150;0,007412994;0,96652815;-100,3706497;1;;;;;
151;-0,612562241;0,782180535;-69,37188796;1;;;;;
152;-0,737001165;0,704062831;-63,14994175;1;;;;;
153;-0,992833559;0,620749603;-50,35832207;1;;;;;
154;-0,186572689;1,011338057;-90,67136554;1;;;;;
155;-2,126790884;0,960248722;6,339544222;1;;;;;
156;-1,112303861;0,774085981;-44,38480696;1;;;;;
157;-1,453380611;0,744814433;-27,33096947;1;;;;;
158;0,479552376;1,384281673;-123,9776188;0;;;;;
159;-0,10655287;0,980336876;-94,67235649;1;;;;;
160;-1,774611069;0,840894274;-11,26944653;1;;;;;
161;-1,85862393;0,845887755;-7,06880348;1;;;;;
162;-0,181723718;0,839498699;-90,91381412;0;;;;;
163;-0,801746826;0,788525489;-59,91265869;1;;;;;
164;-1,502079387;0,811502573;-24,89603063;1;;;;;
165;-1,1415525;0,856418205;-42,92237501;1;;;;;
166;-0,512934319;0,971495035;-74,35328403;1;;;;;
167;-0,169464582;0,884653012;-91,52677092;0;;;;;
168;-1,902679308;0,745951602;-4,866034606;1;;;;;
169;-0,954213611;0,818545588;-52,28931946;1;;;;;
170;-0,62551554;1,161360173;-68,724223;1;;;;;
171;-1,433009095;0,552759908;-28,34954524;1;;;;;
172;-0,409033018;1,039842703;-79,54834911;1;;;;;
173;-1,578625305;0,921989303;-21,06873476;1;;;;;
174;-0,247272374;0,937172968;-87,63638131;1;;;;;
175;-0,844854308;0,505903983;-57,75728459;0;;;;;
176;-1,201354524;1,147420198;-39,9322738;1;;;;;
177;-1,08880719;1,015321011;-45,55964052;1;;;;;
178;0,019754992;1,007537833;-100,9877496;1;;;;;
179;-1,32287956;1,269334524;-33,85602201;1;;;;;
180;-0,392845691;0,601663353;-80,35771547;0;;;;;
181;-0,62590111;0,964923196;-68,70494448;1;;;;;
182;-0,325693065;0,69175467;-83,71534674;0;;;;;
183;-0,260583198;0,848884704;-86,9708401;0;;;;;
184;-1,081276292;0,96487338;-45,93618542;1;;;;;
185;-1,317330187;0,79510158;-34,13349067;1;;;;;
186;-1,448832629;0,725595871;-27,55836853;1;;;;;
187;-1,79475535;0,709887062;-10,26223248;1;;;;;
188;-0,738792673;0,618585736;-63,06036635;1;;;;;
189;-1,203113374;0,926881379;-39,84433129;1;;;;;
190;-0,638949408;0,882000091;-68,0525296;1;;;;;
191;-0,473251386;0,894998095;-76,33743072;1;;;;;
192;-0,036794709;0,794904387;-98,16026456;0;;;;;
193;-0,709785598;0,665270394;-64,51072009;1;;;;;
194;-1,083264941;0,686650866;-45,83675295;1;;;;;
195;-1,018554117;0,967991922;-49,07229413;1;;;;;
196;-1,360401238;0,938171914;-31,97993811;1;;;;;
197;-1,178215647;0,853415473;-41,08921766;1;;;;;
198;-1,033371698;0,69744313;-48,33141508;1;;;;;
199;-1,449229598;1,019148079;-27,53852009;1;;;;;
200;-1,476059771;0,801188535;-26,19701143;1;;;;;
