;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
115;2,069904688;0,206345645;3,495234381;1;;;;;
116;2,211636957;0,231901832;10,58184783;1;;;;;
117;1,918898504;0,189502215;-4,055074818;1;;;;;
118;2,207509694;0,210334882;10,37548469;1;;;;;
119;1,766273321;0,187572808;-11,68633394;1;;;;;
120;1,804387737;0,169221601;-9,780613132;1;;;;;
121;2,292297259;0,231389499;14,61486297;1;;;;;
122;1,989571807;0,202905133;-0,521409641;1;;;;;
123;1,84801229;0,191844197;-7,599385489;1;;;;;
124;2,113782898;0,196490677;5,689144882;1;;;;;
125;2,284770977;0,216569097;14,23854884;1;;;;;
126;1,804497243;0,178022024;-9,775137867;1;;;;;
127;2,253870178;0,216903646;12,69350889;1;;;;;
128;1,96566341;0,201734693;-1,716829484;1;;;;;
129;2,117056676;0,214089162;5,852833824;1;;;;;
130;1,913382002;0,192661224;-4,330899881;1;;;;;
131;2,033358146;0,194346211;1,667907296;1;;;;;
132;1,691105908;0,169361649;-15,4447046;1;;;;;
133;2,052693673;0,207825333;2,634683626;1;;;;;
134;1,504349216;0,157544842;-24,78253918;0;;;;;
135;1,737660414;0,173402999;-13,11697929;1;;;;;
136;2,07897579;0,204582706;3,94878949;1;;;;;
137;2,274119365;0,227613017;13,70596823;1;;;;;
138;1,912042608;0,194942302;-4,397869588;1;;;;;
139;2,203063758;0,208197795;10,15318788;1;;;;;
140;2,234687456;0,22610143;11,73437278;1;;;;;
141;1,916125329;0,196365553;-4,193733536;1;;;;;
142;2,07659399;0,20474289;3,829699507;1;;;;;
143;2,134738275;0,203671764;6,736913759;1;;;;;
144;1,730106032;0,173728818;-13,49469839;1;;;;;
145;1,758439762;0,179793297;-12,07801192;1;;;;;
146;2,150158278;0,204819677;7,507913908;1;;;;;
147;2,321525351;0,228509768;16,07626756;1;;;;;
148;2,252781996;0,219343234;12,6390998;1;;;;;
149;2,13972683;0,206293829;6,986341487;1;;;;;
150;2,122442557;0,207169758;6,122127857;1;;;;;
151;2,04231715;0,203961983;2,115857496;1;;;;;
152;1,590945409;0,168810925;-20,45272953;0;;;;;
153;2,1665039;0,202414399;8,325194996;1;;;;;
154;1,95691866;0,189203012;-2,154067;1;;;;;
155;2,017140055;0,20149706;0,857002754;1;;;;;
156;2,208922406;0,213388598;10,44612032;1;;;;;
157;1,798051319;0,18832756;-10,09743404;1;;;;;
158;2,453962626;0,232706923;22,69813128;0;;;;;
159;2,069598967;0,195208374;3,479948348;1;;;;;
160;1,886749628;0,198903829;-5,662518592;1;;;;;
161;1,989039478;0,193554727;-0,548026106;1;;;;;
162;2,01574022;0,187111289;0,787011006;1;;;;;
163;1,734227092;0,177045209;-13,28864541;1;;;;;
164;1,868445714;0,192197695;-6,577714313;1;;;;;
165;1,922889365;0,191711444;-3,855531743;1;;;;;
166;1,872774413;0,176734123;-6,361279358;1;;;;;
167;1,977759826;0,190365935;-1,112008701;1;;;;;
168;1,87050695;0,189610458;-6,474652484;1;;;;;
169;1,722099756;0,174195713;-13,89501219;1;;;;;
170;2,113621638;0,214908547;5,68108189;1;;;;;
171;2,202345323;0,223555943;10,11726617;1;;;;;
172;2,158767152;0,214602075;7,938357589;1;;;;;
173;2,051783876;0,203636586;2,589193817;1;;;;;
174;2,170853694;0,205325544;8,542684718;1;;;;;
175;2,22296693;0,204302346;11,1483465;1;;;;;
176;2,06829578;0,207609392;3,414788987;1;;;;;
177;2,102517993;0,197158688;5,125899633;1;;;;;
178;2,019883715;0,192362979;0,99418576;1;;;;;
179;2,057510262;0,200470632;2,875513076;1;;;;;
180;1,901174656;0,192504987;-4,941267177;1;;;;;
181;1,830292818;0,192619697;-8,485359119;1;;;;;
182;1,83877001;0,183302193;-8,061499509;1;;;;;
183;2,328301326;0,219777076;16,41506631;1;;;;;
184;2,107166359;0,203563808;5,358317961;1;;;;;
185;2,067367774;0,198354737;3,368388715;1;;;;;
186;1,860725866;0,177853081;-6,963706718;1;;;;;
187;1,962360735;0,187888228;-1,88196324;1;;;;;
188;1,694388175;0,171583478;-15,28059126;1;;;;;
189;2,048326184;0,188037457;2,41630919;1;;;;;
190;2,022426873;0,191962574;1,121343633;1;;;;;
191;2,006449031;0,201101676;0,322451555;1;;;;;
192;1,969810317;0,203248485;-1,509484151;1;;;;;
193;2,10954869;0,213533595;5,477434498;1;;;;;
194;1,692586469;0,181887114;-15,37067655;1;;;;;
195;1,852916028;0,18317787;-7,354198587;1;;;;;
196;2,251726142;0,229267529;12,58630708;1;;;;;
197;2,144871949;0,207328254;7,243597472;1;;;;;
198;2,177497418;0,207394421;8,874870892;1;;;;;
199;2,143209007;0,216528102;7,160450333;1;;;;;
200;2,092645886;0,198960932;4,632294301;1;;;;;
201;2,258833412;0,223809228;12,94167061;1;;;;;
202;1,932373755;0,189298258;-3,381312231;1;;;;;
203;2,109051743;0,191208961;5,452587125;1;;;;;
204;2,017704726;0,201818535;0,885236316;1;;;;;
205;1,929216533;0,199209451;-3,539173368;1;;;;;
206;1,825051449;0,183335064;-8,747427567;1;;;;;
207;1,459239032;0,162062832;-27,03804838;0;;;;;
