"";"alpha";"beta";"lambda";"lp"
"1";2421,09414794953;2758,86420393295;2112,07649407566;2514,33323804197
"2";3246,2968680705;2354,70196407474;2365,78218838457;2377,7189492944
"3";3424,9696314623;2676,50422817744;2695,31686303008;2278,8957763627
"4";2930,21154979034;2740,83812669078;2733,21730399454;2427,38771844414
"5";2877,71930220235;2771,16036451437;2464,92835185776;2507,07520056405
"6";3016,41458434929;2584,67380797187;2553,45767383301;2211,66138625632
"7";3434,64936416591;2971,83206492366;3052,91938504767;2617,09405675262
"8";3352,97123188779;2679,99181630498;2711,50572120641;2154,21072903431
"9";3088,56477499405;2496,87803041591;2648,0721342198;2191,66555874927
"10";3484,30090872508;2870,36065506187;2936,2901786307;2782,7369817361
"11";3431,10756035922;2342,93319933103;2579,51750014093;2417,4239319968
"12";3344,41349128559;3150,37473991776;3222,32369245122;2047,69519119723
"13";3057,26027955486;3009,81410473196;2794,44472647098;2403,67483793583
"14";2856,32132151132;2449,42429988958;2347,19358074869;2808,13115906933
"15";3391,85639976605;2682,06023066132;2882,22131394526;2012,18651863008
"16";3185,12607987509;2659,12035529126;2464,83396459382;2351,44887746359
"17";3658,80423350957;1985,29172736847;2050,10785811913;2289,06300234387
"18";2541,3227983536;2809,90062549086;2356,32794569141;2893,51666077361
"19";3574,3466039992;2753,3237485892;3075,07473954307;2369,35262648754
"20";2827,34860623409;2511,65568859669;2373,37193332685;2275,65602384284
"21";3350,90488118264;2732,48013176452;3145,36893973962;2611,25626304533
"22";2888,19277468729;2252,89091460058;2240,32651644522;2618,28764966463
"23";3508,37027543573;2686,97848750734;2678,18265066014;2444,13427826942
"24";3517,1768012961;2919,99515197689;2793,7963937803;2676,82164940514
"25";3286,5489751298;2559,94018665308;2341,54892089143;2396,26303298041
"26";2838,5634715391;2311,30020217835;2377,25688280365;1987,56859546545
"27";2838,2008630945;2534,53253752441;2530,13453739682;2638,18831573925
"28";3315,02456514723;2802,30020279759;2744,4055759415;2578,50066945182
"29";2955,55358244461;2610,43987305313;2446,68181935514;2138,06181787651
"30";3110,54522674103;2429,16746333283;2306,98163840123;2593,56563668612
"31";3431,67937153289;2981,77440624344;3240,64363422521;2734,90359161399
"32";3017,40909792473;2397,0979161628;2639,2307596884;2521,04588380383
"33";2940,14772360593;2679,99121133487;2353,90521387643;2537,80202841817
"34";3479,32239927132;3550,26623099253;3380,09038845272;2502,5824037093
"35";3372,75531859462;2875,90334918325;3091,0128794394;2636,87526692944
"36";2610,70631168068;2825,01031904268;2705,57544473171;2292,27459361331
"37";3314,75618297511;2917,42000102592;2474,19087359544;2245,08136142685
"38";3582,130974585;2909,83959992538;2921,05050903242;2831,23404244494
"39";3158,04675583071;2971,67146677175;2971,93445206889;2465,02318434318
"40";2725,38604520279;2807,15888486268;3112,39803296159;2621,5094877991
"41";3691,96880606292;2911,41016144053;2973,2933793682;2519,70798228983
"42";2812,69120863656;2507,85172833865;2669,09976646711;2217,21709345401
"43";3588,17082467473;2778,97544109212;3003,30187855641;2254,24221414108
"44";3433,96346605706;3266,36351595024;3284,55022773496;2399,16694800209
"45";2862,44270035465;2205,56422558536;2161,33377466906;1698,149449234
"46";3155,9065531796;2460,64820839217;2362,10653385417;2470,1990663518
