;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
1;-0,592937608;1,553010597;-70,35311962;1;;-2,312534018;0,94244573;15,62670091;0,94
2;-5,076954592;1,574917237;153,8477296;0;;;;;
3;-2,319372392;1,059557394;15,96861962;1;;;;;
4;-2,68037142;0,672578231;34,01857099;1;;;;;
5;-2,596991828;0,810866036;29,84959141;1;;;;;
6;-1,02010841;0,522305811;-48,9945795;1;;;;;
7;-2,09994927;1,040478219;4,997463478;1;;;;;
8;-1,977441032;0,680397808;-1,127948421;1;;;;;
9;-2,717036795;0,863088045;35,85183977;1;;;;;
10;-1,994658158;0,698883542;-0,267092096;1;;;;;
11;-1,148151765;0,568958967;-42,59241177;1;;;;;
12;-1,914833641;0,836442255;-4,25831794;1;;;;;
13;-1,292773384;0,691485296;-35,36133079;1;;;;;
14;-3,254260098;0,986265101;62,7130049;1;;;;;
15;-2,251187862;0,689431559;12,55939308;1;;;;;
16;-3,443611007;1,099625478;72,18055037;1;;;;;
17;-3,212253756;0,908531597;60,61268781;1;;;;;
18;-2,924132999;0,911719193;46,20664994;1;;;;;
19;-1,672597794;0,410461359;-16,3701103;1;;;;;
20;-2,645467158;0,70618714;32,27335789;1;;;;;
21;-3,105977819;0,927072317;55,29889097;1;;;;;
22;-1,960678072;0,967377123;-1,966096382;1;;;;;
23;-2,442313903;1,120893452;22,11569516;1;;;;;
24;-3,6841114;1,472552744;84,20557001;1;;;;;
25;-3,837643458;1,100634246;91,88217292;1;;;;;
26;-0,715308066;1,151651576;-64,23459671;1;;;;;
27;-1,854793255;0,828768105;-7,260337245;1;;;;;
28;-1,344936964;2,64737226;-32,75315178;1;;;;;
29;-1,917867102;0,739597997;-4,10664492;1;;;;;
30;-1,975964204;0,658519824;-1,201789807;1;;;;;
31;-3,569574041;1,134526869;78,47870206;1;;;;;
32;-1,390935469;0,504079432;-30,45322654;1;;;;;
33;-1,925950052;0,612444656;-3,702497378;1;;;;;
34;-3,496817746;1,258216965;74,84088729;1;;;;;
35;-3,595382583;0,957530513;79,76912917;1;;;;;
36;-2,789053236;0,768726621;39,45266182;1;;;;;
37;-1,468453148;0,664786385;-26,57734262;1;;;;;
38;-1,279861025;0,66723137;-36,00694877;1;;;;;
39;-1,193575272;0,984784756;-40,32123642;1;;;;;
40;-1,601413453;0,540798464;-19,92932735;1;;;;;
41;-1,080379291;0,668171192;-45,98103547;1;;;;;
42;-1,214094813;1,042781017;-39,29525937;1;;;;;
43;-1,670864812;0,82841039;-16,45675941;1;;;;;
44;-1,958344375;0,700030487;-2,082781267;1;;;;;
45;-1,287295873;0,575544533;-35,63520636;1;;;;;
46;-0,882770632;0,746280688;-55,86146839;1;;;;;
47;-1,704214714;0,775129305;-14,78926432;1;;;;;
48;-1,25233303;0,680592872;-37,38334848;1;;;;;
49;-1,509220755;0,896935787;-24,53896226;1;;;;;
50;-2,117887456;1,16629496;5,894372812;1;;;;;
51;-1,942331706;0,666629484;-2,883414694;1;;;;;
52;-2,384076802;0,697770402;19,20384012;1;;;;;
53;-1,072737828;1,097201543;-46,36310862;1;;;;;
54;-1,516310457;0,704469005;-24,18447716;1;;;;;
55;-4,50024836;2,017789068;125,012418;1;;;;;
56;-2,195077193;0,66435165;9,753859648;1;;;;;
57;-0,887079259;0,902383135;-55,64603704;1;;;;;
58;-1,972237971;0,747167274;-1,388101468;1;;;;;
59;-2,710449053;0,753744311;35,52245264;1;;;;;
60;-4,891682772;1,240099739;144,5841386;0;;;;;
61;-1,373448691;1,100927784;-31,32756543;1;;;;;
62;-2,593155873;1,053864608;29,65779367;1;;;;;
63;-2,291454732;1,098095088;14,57273658;1;;;;;
64;-2,632019977;0,777189571;31,60099887;1;;;;;
65;-1,685963263;0,809157921;-15,70183685;1;;;;;
66;-2,390638742;0,880533971;19,5319371;1;;;;;
67;-1,639491661;1,492875331;-18,02541693;1;;;;;
68;-0,777540576;1,062107938;-61,12297122;1;;;;;
69;-1,554775019;0,872359766;-22,26124907;1;;;;;
70;-1,317641757;0,540651389;-34,11791216;1;;;;;
71;-2,243873724;0,974060401;12,19368622;1;;;;;
72;-1,427447945;1,316171366;-28,62760276;1;;;;;
73;-2,308476616;0,697620496;15,42383082;1;;;;;
74;-2,498700988;0,873931725;24,93504939;1;;;;;
75;-1,131888923;0,568728343;-43,40555383;1;;;;;
76;-1,349507862;0,877792317;-32,52460692;1;;;;;
77;-2,210890332;0,972392287;10,5445166;1;;;;;
78;-1,943176397;1,16778013;-2,84118014;1;;;;;
79;-1,349904098;1,045929657;-32,50479509;1;;;;;
80;-2,167522441;0,58523014;8,376122047;1;;;;;
81;-2,116543242;1,125400137;5,827162104;1;;;;;
82;-1,514849154;0,787044296;-24,25754229;1;;;;;
83;-1,959092065;1,010207193;-2,045396729;1;;;;;
84;-1,493861718;0,837740885;-25,30691411;1;;;;;
85;-0,88245944;0,74288582;-55,87702799;1;;;;;
86;-3,415437598;0,953299138;70,77187989;1;;;;;
87;-2,188701111;1,080966924;9,435055575;1;;;;;
88;-1,75289491;0,653330163;-12,35525452;1;;;;;
89;-1,683413724;0,834510917;-15,82931378;1;;;;;
90;-2,134753205;0,733406043;6,737660229;1;;;;;
91;-2,314911046;1,050354192;15,74555231;1;;;;;
92;-2,679378132;0,782966865;33,96890662;1;;;;;
93;-1,429272255;0,837989994;-28,53638725;1;;;;;
94;-1,623827555;0,816090683;-18,80862223;1;;;;;
95;-4,067328393;1,421812807;103,3664196;1;;;;;
96;-0,593292096;0,783141523;-70,33539518;1;;;;;
97;-1,601916888;1,210630199;-19,9041556;1;;;;;
98;-1,672854923;0,584729945;-16,35725384;1;;;;;
99;-2,251106824;1,192979782;12,55534119;1;;;;;
100;-1,263811486;0,449990507;-36,80942568;1;;;;;
101;-1,815899284;1,377403045;-9,205035796;1;;;;;
102;-1,861939987;0,596011792;-6,903000649;1;;;;;
103;-3,104202821;1,218857158;55,21014106;1;;;;;
104;-2,095321019;1,029014501;4,766050969;1;;;;;
105;-2,320588451;0,709979743;16,02942257;1;;;;;
106;-1,489540245;0,538322976;-25,52298775;1;;;;;
107;-1,806372972;0,975314602;-9,681351403;1;;;;;
108;-1,072920078;0,725915206;-46,35399608;1;;;;;
109;-3,849178069;1,275613171;92,45890346;1;;;;;
110;-2,53049584;0,907486939;26,52479199;1;;;;;
111;-3,919584624;1,588305428;95,97923121;1;;;;;
112;-2,682374342;0,878388126;34,11871712;1;;;;;
113;-1,655236176;0,561442651;-17,2381912;1;;;;;
114;-1,412076541;0,674055795;-29,39617297;1;;;;;
115;-3,291684409;1,261713494;64,58422046;1;;;;;
116;-2,553797974;1,245522312;27,6898987;1;;;;;
117;-1,782230356;0,671734817;-10,88848218;1;;;;;
118;-3,580791566;1,10610813;79,03957828;1;;;;;
119;-4,137017524;1,099551775;106,8508762;0;;;;;
120;-3,676985157;1,817382469;83,84925784;1;;;;;
121;-3,263219114;1,020709646;63,16095571;1;;;;;
122;-1,862421982;0,922849656;-6,878900918;1;;;;;
123;-1,232644296;0,693126329;-38,36778522;1;;;;;
124;-2,517254123;0,955805323;25,86270616;1;;;;;
125;-2,720654318;0,899917385;36,03271592;1;;;;;
126;-2,010634209;0,589193818;0,531710444;1;;;;;
127;-1,798561103;0,504502713;-10,07194483;1;;;;;
128;-2,587555343;0,764158079;29,37776716;1;;;;;
129;-3,566060785;0,920348121;78,30303924;1;;;;;
130;-2,217409444;0,838089814;10,8704722;1;;;;;
131;-5,361598054;2,069091133;168,0799027;1;;;;;
132;-1,56369764;0,912232959;-21,81511799;1;;;;;
133;-2,226250735;0,56784865;11,31253673;1;;;;;
134;-2,226712309;0,790510241;11,33561547;1;;;;;
135;-2,000711676;0,498195558;0,035583796;1;;;;;
136;-2,711643711;0,90218712;35,58218554;1;;;;;
137;-1,362751021;0,634593184;-31,86244893;1;;;;;
138;-1,996853968;0,698236303;-0,157301598;1;;;;;
139;-2,957660566;0,862981147;47,8830283;1;;;;;
140;-1,676749695;0,613616383;-16,16251523;1;;;;;
141;-2,875188003;1,152709592;43,75940013;1;;;;;
142;-1,20644299;0,861792104;-39,67785052;1;;;;;
143;-3,517489979;0,876633281;75,87449895;1;;;;;
144;-3,950267904;1,16729918;97,51339521;1;;;;;
145;-1,822921911;0,80458282;-8,853904462;1;;;;;
146;-3,226181525;1,245555766;61,30907625;1;;;;;
147;-1,709241385;0,750991788;-14,53793075;1;;;;;
148;-2,164546707;2,009489301;8,227335331;1;;;;;
149;-1,856544515;0,623068729;-7,17277424;1;;;;;
150;-3,228226116;0,950659988;61,41130579;1;;;;;
151;-3,649040738;1,342719487;82,4520369;1;;;;;
152;-2,997488648;1,055653723;49,87443241;1;;;;;
153;-2,212721785;0,873563933;10,63608925;1;;;;;
154;-0,983565842;0,648683343;-50,8217079;1;;;;;
155;-2,396625698;0,718826413;19,83128492;1;;;;;
156;-1,467070985;0,646463001;-26,64645074;1;;;;;
157;-3,052480172;1,678573362;52,62400859;1;;;;;
158;-3,305060755;1,239144088;65,25303776;1;;;;;
159;-2,165657271;0,707408425;8,282863538;1;;;;;
160;-5,411956547;1,638655044;170,5978273;0;;;;;
161;-2,117571847;0,740540931;5,878592331;1;;;;;
162;-2,300327917;0,700009859;15,01639587;1;;;;;
163;-2,060141783;0,672680164;3,007089145;1;;;;;
164;-2,620935139;0,887235631;31,04675695;1;;;;;
165;-4,200331115;1,1679043;110,0165558;0;;;;;
166;-0,726411303;0,928855903;-63,67943487;1;;;;;
167;-2,987594168;0,814465785;49,3797084;1;;;;;
168;-2,040719171;0,722745532;2,035958543;1;;;;;
169;-1,979146344;0,571931744;-1,042682795;1;;;;;
170;-1,52805972;0,673100185;-23,59701402;1;;;;;
171;-2,081183919;0,837588971;4,05919595;1;;;;;
172;-2,92686075;1,007113778;46,34303751;1;;;;;
173;-1,734110778;0,76939408;-13,29446112;1;;;;;
174;-2,544606689;0,692665535;27,23033447;1;;;;;
175;-1,583748904;1,307520176;-20,81255479;1;;;;;
176;-2,623841997;0,810465084;31,19209983;1;;;;;
177;-2,177233885;0,926574076;8,861694266;1;;;;;
178;-1,692837134;0,763459166;-15,35814329;1;;;;;
179;-2,506046472;0,855587986;25,30232359;1;;;;;
180;-1,844539087;0,757831661;-7,773045659;1;;;;;
181;-1,457613014;1,733847331;-27,11934931;1;;;;;
182;-1,767380732;0,654699095;-11,6309634;1;;;;;
183;-4,235562761;1,461414748;111,778138;1;;;;;
184;-2,81212888;0,766714704;40,60644398;1;;;;;
185;-2,03899811;1,255075612;1,949905496;1;;;;;
186;-2,212880111;0,994997099;10,64400553;1;;;;;
187;-3,742076805;1,252691405;87,10384024;1;;;;;
188;-2,046928305;0,864860025;2,346415264;1;;;;;
189;-1,837972368;0,942514014;-8,101381593;1;;;;;
190;-1,576829417;0,495685795;-21,15852913;1;;;;;
191;-0,786147112;0,940189867;-60,69264441;1;;;;;
192;-2,448856307;1,118437759;22,44281535;1;;;;;
193;-3,23601653;1,286867818;61,80082652;1;;;;;
194;-2,07503757;0,671469325;3,751878485;1;;;;;
195;-1,560173053;0,81405786;-21,99134737;1;;;;;
196;-2,206964742;1,244810178;10,34823712;1;;;;;
197;-2,025307765;0,779441015;1,265388236;1;;;;;
198;-1,593504986;0,506479785;-20,32475069;1;;;;;
199;-3,046172753;0,887410544;52,30863764;1;;;;;
200;-3,460662613;1,053910523;73,03313067;1;;;;;
201;-2,760276375;0,94105977;38,01381874;1;;;;;
202;-2,505911016;0,596780898;25,29555082;1;;;;;
203;-3,876178791;1,021984961;93,80893954;0;;;;;
204;-2,057738064;0,856586578;2,88690319;1;;;;;
205;-2,847739018;1,005243491;42,38695092;1;;;;;
206;-5,361569628;1,367986037;168,0784814;0;;;;;
207;-4,804794382;1,271088837;140,2397191;0;;;;;
208;-1,808339468;0,951144643;-9,583026594;1;;;;;
209;-3,606087912;1,256049683;80,30439561;1;;;;;
210;-0,968185557;0,564599994;-51,59072217;1;;;;;
211;-1,6599875;0,626605966;-17,000625;1;;;;;
212;-0,060327077;1,078879013;-96,98364614;1;;;;;
213;-2,213467377;0,846018641;10,67336884;1;;;;;
214;-3,732060807;0,952902541;86,60304037;1;;;;;
215;-4,627004573;1,700185177;131,3502287;1;;;;;
216;-1,439051829;0,613121894;-28,04740855;1;;;;;
217;-1,103445453;1,231012265;-44,82772735;1;;;;;
218;-2,104087179;0,992652676;5,204358946;1;;;;;
219;-2,150821411;0,649892163;7,541070527;1;;;;;
220;-2,673932339;0,92704085;33,69661697;1;;;;;
221;-1,755664089;0,893407206;-12,21679557;1;;;;;
222;-1,00069785;0,5852502;-49,96510752;1;;;;;
223;-4,258473474;1,227268729;112,9236737;1;;;;;
224;-1,81745928;0,904930775;-9,127036011;1;;;;;
225;-0,809218899;1,07484089;-59,53905504;1;;;;;
226;-2,705378753;0,80092647;35,26893766;1;;;;;
227;-1,699083732;0,593492473;-15,04581342;1;;;;;
228;-1,787713943;0,687176605;-10,61430286;1;;;;;
229;-1,937941697;1,182474584;-3,102915132;1;;;;;
230;-2,099850584;1,539602701;4,992529202;1;;;;;
231;-1,308103271;1,36996883;-34,59483646;1;;;;;
232;-1,4057671;0,919120179;-29,71164498;1;;;;;
233;-1,431984279;0,693266003;-28,40078606;1;;;;;
234;-2,915715715;0,770311726;45,78578577;1;;;;;
235;-0,763151778;0,841637549;-61,84241112;1;;;;;
236;-2,773807454;1,189411528;38,69037268;1;;;;;
237;-2,618789454;0,95603869;30,9394727;1;;;;;
238;-2,543758407;0,906597485;27,18792036;1;;;;;
239;-4,034464395;1,303022036;101,7232197;1;;;;;
240;-3,953116975;1,83823754;97,65584874;1;;;;;
241;-3,630010963;1,042420523;81,50054816;1;;;;;
242;-2,410024583;0,890629696;20,50122915;1;;;;;
243;-1,826887443;1,186683824;-8,655627854;1;;;;;
244;-2,030764827;0,879467287;1,538241343;1;;;;;
245;-3,074789557;1,029374265;53,73947784;1;;;;;
246;-1,505582678;0,730736258;-24,72086609;1;;;;;
247;-3,201246716;0,968727231;60,06233578;1;;;;;
248;-1,393761146;0,963550839;-30,31194269;1;;;;;
249;-3,986970836;0,997921589;99,34854178;0;;;;;
250;-1,744093321;0,934228579;-12,79533395;1;;;;;
251;-1,375396667;0,58552268;-31,23016664;1;;;;;
252;-1,564675172;0,748037008;-21,7662414;1;;;;;
