"";"alpha";"beta";"lambda";"lp"
"364";3104,21216079871;2532,24394048059;2982,51720540206;2677,74848275054
"365";3369,46760496865;3187,54853866012;3270,64769773427;2682,24670777804
"366";3583,95361401699;2840,21927418126;2732,5125264801;2609,28976443336
"367";3445,7018371294;3131,39422799223;3333,31245383164;2502,79422322498
"368";3515,52402459465;2639,64511230409;2831,72941793756;2803,2403192611
"369";3504,49960536172;2873,05628027779;2865,63139612262;2604,49363155624
"370";3734,59804043952;3541,46959173639;3405,19278456816;2588,76292417436
"371";3435,80410517281;3198,40626910445;3060,35185187632;2520,17452804518
"372";3559,05336726719;2822,29584177829;2776,86238155253;2362,56664120171
"373";3872,05044238535;2876,20927979762;2850,72322467551;2356,85035327823
"374";3497,94015566134;2985,92555065845;3096,04795229947;2596,80127068756
"375";3725,97907319166;2637,89802499938;2757,84560219432;2377,18100565061
"376";3814,43680645078;3235,20714095828;3142,53613213378;2580,70068762819
"377";3333,5259506117;2600,3809031;2737,00663065453;2423,30669959492
"378";3702,38402237596;2816,38635927006;2780,07913589012;2764,2760936014
"379";3440,28984839818;2749,17155420637;2867,2264961965;2849,37392104417
"380";3373,17760149133;3129,5396481375;2957,3130528502;2602,65929976468
"381";3506,94179417409;2779,86344968167;2747,56611944361;2391,25553479184
"382";3565,36209675908;2715,59819930075;2912,73224993202;2223,94172763078
"383";3701,96949770772;2839,09132434472;2909,31953071499;2526,15823299359
"384";3245,50306710562;3279,99948403457;3227,0406130403;2370,40515674631
"385";3597,38957336712;2932,17316323527;3007,30391458668;2390,69911549431
"386";3061,28499163363;3241,79755407959;3405,83056489567;2477,75244561271
"387";3710,36728821305;2660,63322719477;2698,17303661809;2355,27230595883
"388";3690,58994556179;2729,25196308542;2852,68704094473;2794,33640733827
"389";3370,71620412563;2663,69679184114;2775,37655111769;2455,4899264698
"390";2992,6413016668;2450,5198564636;2856,97186454229;2385,09516472338
"391";3199,90637908099;2770,48691722858;2633,75901676683;2636,55851473798
"392";3459,74840976438;3314,36650882214;3407,1325345213;2726,7846865817
"393";3837,50341726725;3152,39056162383;3166,0586699237;2564,75893374225
"394";3311,63514894087;2744,4017698462;2516,27624701807;2455,91398770298
"395";3476,57444021741;2652,93987024726;2808,44948974233;2241,0268720648
"396";3528,76473014958;3241,26452281304;3249,01934279874;2197,18604393558
"397";3416,39259718135;2762,30676477732;2554,77071882542;2537,80459323622
"398";3516,12762708359;3145,37246427767;3304,16851470503;2679,84682383495
"399";3519,74201638498;3048,60331646801;3371,61052519491;2486,71586903941
"400";3325,68903867838;3144,8778085128;3227,25711196347;2547,44913693958
"401";3498,17698011481;2775,71257097592;2860,53250807239;2575,66148563115
"402";3500,33733067652;3347,15861210561;3221,71390439717;2347,09324599933
"403";3223,56001084086;2981,95079532107;2856,3199763054;2615,47588553709
"404";3267,12792965504;2869,96223300214;3100,63724660623;2614,78798376129
"405";3421,98482138749;3569,80847599005;3489,65201688323;2379,64884061189
"406";3655,73095410371;2333,81663329603;2585,72807895439;2408,8181830644
"407";3478,7215581858;2416,02768579467;2680,84553123045;2358,17646123231
"408";3629,39592739184;2995,75185566249;3101,61622206631;2569,79032411498
"409";3406,31967299452;2945,51976848859;3067,68146610165;2164,69684430798
"410";3648,10268946329;3483,68495108309;3708,90567398219;2637,59991546235
"411";3181,40624318954;2937,15945809542;2833,41112232676;2373,76413074549
"412";3637,99329383505;3085,49876055768;3140,32216905191;2328,0559511919
"413";3899,62295002653;2574,9917884961;2611,57456723031;2468,62662907471
"414";3510,77956692825;3182,26714986059;3340,40315600409;2538,79323594026
"415";3241,71531033069;3014,19944256859;3170,18444217472;2334,63173511545
"416";3398,36205344568;3090,81012781393;2997,76475272034;2468,05729602827
"417";3637,21122535886;3259,53328882593;3141,50065718888;2645,23878292394
"418";3668,17894921452;2525,43711658108;2681,9292279088;2513,76585286539
"419";3687,63771399807;2887,43889553595;2852,46104023286;2516,63716315409
"420";3983,74889745056;2757,1956588619;2875,37781400412;2576,64238631501
