"";"alpha";"beta";"lambda";"lp"
"92";2702,2646044537;2543,66331596051;2701,97124624969;2471,21053712892
"93";3119,61709265909;2676,09804939562;2608,53863362571;2260,27824385112
"94";3113,11270909582;2673,61590084135;2696,56477965826;2654,27747263101
"95";3033,64572912088;2397,71210459108;2742,1236077176;2285,77770463903
"96";2808,20187448418;2751,56794155539;2341,78705431148;2606,56280907202
"97";3065,25172549997;3072,95297119681;2866,21804338913;2663,88493783561
"98";3442,63603885508;3032,57301976576;2719,9250217892;2613,48423492708
"99";2528,47116331541;2534,75407883807;2332,90252613395;2115,54517521482
"100";3339,04523576735;2910,1507474513;2790,62009198276;2298,61713675548
"101";2205,75161868683;2475,23275010018;2158,33597212829;2187,16624269809
"102";3501,6267266212;3555,08709250145;3537,72834311365;2910,77307174378
"103";2280,81423959954;2531,82826577475;2268,05634110862;2262,05588668633
"104";2919,70607382132;2442,41687417308;2328,81042138112;2678,10032233613
"105";3705,01365144886;3082,28074011208;3080,45293631631;2921,17921513504
"106";3174,98975630539;2627,6546156907;2444,05832603687;2353,10545493762
"107";2708,72157903708;2395,54774923195;2134,35500552282;2134,83984833765
"108";3019,22252789132;2238,9560459956;2380,96888949374;2297,77552313516
"109";2789,79120744984;2525,4652010822;2634,83157186788;1801,37274718377
"110";3395,75860177081;3387,86919004636;3251,82999441783;2239,46374653812
"111";2439,02110814173;2354,31050760571;2063,20793127555;2482,60703607868
"112";3447,17897943615;3260,54300029639;3369,16677594363;2515,7745233208
"113";3256,82125300404;2625,37844668888;2613,51130919609;2341,87096459021
"114";2686,01617913853;2590,83854180509;2340,90360222056;2610,87550642365
"115";2741,71896044416;3050,69039881868;3004,42041139826;2429,35208590668
"116";2726,36729773164;2646,63531346179;2408,52797973623;2494,34054768111
"117";2885,63500009486;2430,65425259039;2955,80962675394;2246,7352231953
"118";2969,27111680458;2597,82049284211;2501,92181947029;2492,46783135506
"119";3850,3605388641;3211,4098284893;3362,95605798941;2445,26291453245
"120";2721,81713808863;2965,56957065655;2308,98252234217;2307,79318083529
"121";2925,61136363325;2430,45736739257;2279,79182436481;2394,85850713449
"122";3288,93812041534;3062,46106294534;3142,6367584507;2635,10231933094
"123";2909,19557554451;3260,73325889031;2682,76312303053;2818,83048256821
"124";3283,2603545186;2995,09912761696;3164,38838599107;2478,91433699652
"125";3031,69241160087;2995,1399384955;2744,82909204238;2704,79958804656
"126";3313,62279927868;2842,04878473471;3193,48373775259;2430,4607958416
"127";3868,8385795128;2586,59681295197;2727,88403111983;2608,98383376985
"128";3358,84457181669;3063,22311120738;2857,17108173394;2362,96225634016
"129";3630,77644506922;3162,47033613546;2892,96248929039;2506,93043794436
"130";3003,95962523898;2575,79512949913;2546,1543477913;2517,6357833449
"131";2020,96403785312;1821,10663419011;1809,25252110455;2245,36930290188
"132";2583,48734738517;2553,27450777673;2308,84147409062;2427,58310593332
"133";3099,90801797318;2530,11436662258;2582,60016232837;2213,85976137264
"134";3405,31035758111;3248,14689065541;3592,50178942882;2891,63657268585
"135";2737,66185733859;2549,60884674716;2956,78176721453;2499,11759383051
"136";3256,89987397184;2064,64206232975;2853,14575692165;2210,54273590448
"137";3434,68333539509;2729,15535025119;2841,54703247166;2595,54103781898
"138";2640,97888991199;2528,66279090484;2234,28892973972;2221,01095009419
"139";2753,99697707212;2948,5417144509;2565,06104020434;2265,81978103286
"140";3549,47522233362;2965,68602416271;2924,59100201198;2689,15013750826
"141";3005,32344891403;2965,52866083155;2935,68053024257;2805,80310860859
"142";2865,50767819554;2659,10164330486;2382,15265529175;2439,33347007041
"143";3387,12943472761;2721,32919429624;3292,17213886103;2238,76344511025
"144";3143,27961027565;2734,03831610366;2628,8286855402;2577,57663204727
"145";2244,65556660525;2373,3069645664;2348,45328003421;2416,60824910002
"146";2774,00222505561;3220,63394624494;2905,72623533778;2571,51701642375
"147";3061,68577875475;2115,34587152702;2157,65546252912;2337,6545184358
"148";2341,38709991249;2047,22137148968;1834,07428843124;2056,64673532976
"149";3123,70639175381;2748,19009359889;2510,75068553533;2401,7696672247
"150";3170,62855677159;2110,85359382434;2706,61400189216;2296,47408717579
"151";3405,07390769445;3056,42141599497;3068,16905740109;2321,04407728547
"152";3222,94122525199;3201,14566445499;3229,72093521801;2345,85489925364
"153";2807,1973724054;2348,51076874146;2230,88056538915;2182,37496969983
"154";2488,88825462806;2362,67978329916;2399,21428614386;2362,71326859826
"155";2967,87642755153;2713,97376578027;2603,23791994576;2414,16137253217
"156";3316,73393237835;2764,85460015154;2849,40258885544;2264,32593496307
"157";2954,99307454276;2847,34887960315;2434,03830485833;2346,54351433138
"158";3300,61269457745;2566,32360892205;2673,02376901066;2491,70450302372
"159";3288,02970660773;3370,52806541299;2928,38094888756;2673,77237445908
"160";3580,40527437397;2358,55248828545;2675,66262450849;2506,9571734478
"161";3074,29887380646;3070,95056503868;2742,21700621113;2489,19026556823
