;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
111;-1,746590625;0,543056164;-12,67046877;1;;;;;
112;-2,201748827;0,682544075;10,08744135;1;;;;;
113;-1,962314695;0,452354412;-1,884265236;1;;;;;
114;-2,374325732;0,537287993;18,71628658;1;;;;;
115;-2,906963314;0,569969066;45,34816572;1;;;;;
116;-1,854865046;0,530732605;-7,256747718;1;;;;;
117;-1,615196834;0,459291232;-19,24015832;1;;;;;
118;-2,082661993;0,647898988;4,13309966;1;;;;;
119;-1,714636782;0,506247368;-14,2681609;1;;;;;
120;-1,883101216;0,46307142;-5,84493922;1;;;;;
121;-2,054439022;0,611212435;2,721951109;1;;;;;
122;-2,805833533;0,800231518;40,29167664;1;;;;;
123;-1,957613405;0,588426305;-2,119329727;1;;;;;
124;-1,952980442;0,468792338;-2,350977912;1;;;;;
125;-0,26070319;0,601982325;-86,96484049;0;;;;;
126;-1,695905644;0,554198743;-15,20471778;1;;;;;
127;-1,949414682;0,44527159;-2,529265924;1;;;;;
128;-1,992518673;0,652434644;-0,374066338;1;;;;;
129;-2,078852273;0,861039406;3,942613662;1;;;;;
130;-1,453530004;0,427254967;-27,32349979;1;;;;;
131;-1,96619577;0,55484549;-1,690211489;1;;;;;
132;-1,615879353;0,581723627;-19,20603235;1;;;;;
133;-2,635484641;0,547064674;31,77423205;1;;;;;
134;-1,823958549;0,844212582;-8,802072527;1;;;;;
135;-1,434638542;0,395649725;-28,26807288;1;;;;;
136;-2,656371747;0,793245403;32,81858735;1;;;;;
137;-1,954851567;0,507893186;-2,257421667;1;;;;;
138;-2,475422982;0,575113311;23,77114909;1;;;;;
139;-1,335204973;0,93507621;-33,23975133;1;;;;;
140;-1,93862796;0,586787784;-3,068601996;1;;;;;
141;-2,944130458;0,878356405;47,20652291;1;;;;;
142;-2,793039166;0,712859318;39,65195831;1;;;;;
143;-1,792640179;0,515485045;-10,36799104;1;;;;;
144;-1,634651857;0,479328569;-18,26740717;1;;;;;
145;-1,889771299;0,429014047;-5,51143503;1;;;;;
146;-1,265550162;0,57770973;-36,72249188;1;;;;;
147;-3,91334;0,818354391;95,66700002;0;;;;;
148;-1,887896268;0,55235423;-5,605186591;1;;;;;
149;-1,649221046;0,470257914;-17,53894771;1;;;;;
150;-1,795876612;0,576582402;-10,2061694;1;;;;;
151;-0,770943022;0,635220715;-61,45284891;1;;;;;
152;-2,141125766;0,489916196;7,056288316;1;;;;;
153;-1,369384633;0,412542091;-31,53076836;1;;;;;
154;-2,808658383;0,604732191;40,43291917;1;;;;;
155;-1,398839229;0,533510087;-30,05803856;1;;;;;
156;-1,213756852;0,366369695;-39,31215738;0;;;;;
157;-3,997010241;0,885885033;99,85051205;0;;;;;
158;-1,7728982;0,40383629;-11,35509002;1;;;;;
159;-2,020903961;0,517646221;1,045198056;1;;;;;
160;-0,746752272;0,49448105;-62,66238641;0;;;;;
161;-1,082708941;0,439125774;-45,86455294;0;;;;;
162;-2,14817632;0,708594148;7,408816001;1;;;;;
