;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
111;-1,970233403;0,058687831;-1,488329843;1;;;;;
112;-2,059567769;0,064064448;2,978388463;1;;;;;
113;-2,052699333;0,059146793;2,634966644;1;;;;;
114;-1,975595269;0,062325512;-1,220236545;1;;;;;
115;-2,014713493;0,061729868;0,735674641;1;;;;;
116;-2,086784409;0,060159119;4,339220428;1;;;;;
117;-2,090000856;0,06490389;4,500042778;1;;;;;
118;-2,05385352;0,061235662;2,692676023;1;;;;;
119;-1,938676868;0,060160331;-3,066156618;1;;;;;
120;-1,933777505;0,059033596;-3,311124775;1;;;;;
121;-1,967896238;0,058836887;-1,605188091;1;;;;;
122;-2,051303573;0,060187656;2,565178647;1;;;;;
123;-2,069009557;0,064878591;3,450477858;1;;;;;
124;-2,043195086;0,061070317;2,159754278;1;;;;;
125;-2,010577903;0,060182478;0,52889517;1;;;;;
126;-1,968879649;0,058039348;-1,556017538;1;;;;;
127;-1,8661634;0,059995253;-6,691829982;0;;;;;
128;-2,075154983;0,065519799;3,75774917;1;;;;;
129;-2,04182542;0,063687637;2,091271018;1;;;;;
130;-1,971656857;0,060135398;-1,417157168;1;;;;;
131;-2,002109343;0,061014008;0,105467133;1;;;;;
132;-2,024403237;0,060396125;1,220161843;1;;;;;
133;-2,005230669;0,063264865;0,261533431;1;;;;;
134;-2,004743669;0,058365712;0,237183447;1;;;;;
135;-1,877303457;0,055871311;-6,134827156;0;;;;;
136;-2,066822429;0,062367085;3,341121462;1;;;;;
137;-1,983296089;0,064827181;-0,835195564;1;;;;;
138;-2,094308561;0,060277423;4,715428066;1;;;;;
139;-2,028656382;0,063164882;1,432819075;1;;;;;
140;-2,043078111;0,060476464;2,153905552;1;;;;;
141;-2,134463441;0,068142016;6,72317204;0;;;;;
142;-2,043906943;0,058377585;2,195347151;1;;;;;
143;-2,037679081;0,061232987;1,883954034;1;;;;;
144;-1,854686348;0,06023834;-7,265682602;0;;;;;
145;-2,039200745;0,056729061;1,960037267;1;;;;;
146;-1,939689803;0,062548702;-3,015509845;1;;;;;
147;-1,995400864;0,0610844;-0,229956775;1;;;;;
148;-2,014318073;0,063775464;0,715903639;1;;;;;
149;-1,970314704;0,066011907;-1,484264786;1;;;;;
150;-2,068312906;0,060971532;3,415645278;1;;;;;
151;-1,995094577;0,061576257;-0,245271154;1;;;;;
152;-1,978470966;0,061507539;-1,076451688;1;;;;;
153;-2,106214749;0,063236711;5,310737444;1;;;;;
154;-1,964165274;0,060244514;-1,791736287;1;;;;;
155;-2,00623484;0,062942671;0,311741998;1;;;;;
156;-2,114295569;0,064193889;5,714778473;1;;;;;
157;-2,15165611;0,060976276;7,582805522;0;;;;;
158;-2,105665191;0,063776416;5,283259532;1;;;;;
159;-1,90943177;0,061532472;-4,528411506;1;;;;;
160;-2,111774263;0,065921124;5,588713175;1;;;;;
161;-1,955452176;0,060942136;-2,227391179;1;;;;;
162;-2,081763977;0,063241916;4,088198842;1;;;;;
163;-2,034244824;0,062307579;1,712241187;1;;;;;
164;-2,093747654;0,06946297;4,687382687;1;;;;;
165;-2,05392023;0,061618717;2,696011518;1;;;;;
166;-1,930323279;0,06001015;-3,483836073;1;;;;;
167;-1,986829085;0,059764566;-0,658545747;1;;;;;
168;-1,948441144;0,060234388;-2,577942816;1;;;;;
169;-1,964635596;0,06197733;-1,768220193;1;;;;;
170;-1,921471139;0,060170708;-3,926443069;1;;;;;
171;-1,94145825;0,057862334;-2,927087485;1;;;;;
172;-2,005673978;0,061762507;0,283698924;1;;;;;
173;-1,969349603;0,063134597;-1,532519841;1;;;;;
174;-1,998079421;0,059816076;-0,09602897;1;;;;;
175;-2,02325047;0,059944041;1,162523507;1;;;;;
176;-1,989840894;0,061926934;-0,507955304;1;;;;;
177;-1,982627501;0,0613022;-0,868624975;1;;;;;
178;-2,096630923;0,062146141;4,831546149;1;;;;;
179;-2,036449893;0,0611835;1,822494652;1;;;;;
180;-1,917459107;0,056652052;-4,127044674;1;;;;;
181;-2,050519504;0,063002177;2,525975197;1;;;;;
182;-1,962168196;0,065428304;-1,891590192;1;;;;;
183;-2,038527693;0,062462175;1,926384662;1;;;;;
184;-2,069994469;0,067066303;3,499723445;1;;;;;
185;-1,971623136;0,058337851;-1,418843212;1;;;;;
186;-1,997888634;0,06154646;-0,105568279;1;;;;;
187;-2,024451662;0,05845273;1,222583113;1;;;;;
188;-2,085279199;0,059478932;4,263959959;1;;;;;
189;-1,955933932;0,061527302;-2,203303399;1;;;;;
190;-2,038732639;0,062881275;1,936631975;1;;;;;
191;-2,041470134;0,061983502;2,073506693;1;;;;;
192;-1,934539687;0,0614316;-3,273015658;1;;;;;
193;-1,857469413;0,058950338;-7,126529332;0;;;;;
194;-2,048592138;0,060100215;2,429606886;1;;;;;
195;-2,06117036;0,062840958;3,058517981;1;;;;;
196;-2,031783494;0,061435753;1,589174687;1;;;;;
197;-2,218197346;0,069714827;10,9098673;0;;;;;
198;-1,925048335;0,061378016;-3,747583253;1;;;;;
199;-1,909239589;0,060231459;-4,538020538;1;;;;;
200;-1,972610792;0,060495982;-1,369460386;1;;;;;
201;-2,063519257;0,065314925;3,175962842;1;;;;;
202;-1,953837022;0,058781539;-2,308148877;1;;;;;
203;-2,046287047;0,060890315;2,314352361;1;;;;;
204;-1,968942542;0,060477044;-1,552872878;1;;;;;
205;-2,009386679;0,064242828;0,469333947;1;;;;;
206;-1,979795041;0,062530103;-1,010247969;1;;;;;
207;-2,011748241;0,061567876;0,587412069;1;;;;;
208;-1,98365838;0,062237618;-0,817081008;1;;;;;
209;-2,031676537;0,06002905;1,58382687;1;;;;;
210;-2,022544445;0,060259986;1,127222255;1;;;;;
211;-1,993784237;0,060727312;-0,310788135;1;;;;;
212;-2,000903889;0,060828916;0,045194434;1;;;;;
213;-1,92599066;0,061759908;-3,700467001;1;;;;;
214;-1,951197047;0,064127409;-2,440147644;1;;;;;
215;-2,065119363;0,062814022;3,255968126;1;;;;;
216;-1,980732866;0,059857111;-0,96335672;1;;;;;
217;-1,923120081;0,058590813;-3,843995942;1;;;;;
218;-2,0086684;0,060552147;0,433419978;1;;;;;
219;-2,079696355;0,060911811;3,984817769;1;;;;;
220;-2,088832054;0,066147457;4,441602709;1;;;;;
221;-2,020249122;0,062199797;1,012456115;1;;;;;
222;-2,071466638;0,062437402;3,57333191;1;;;;;
223;-2,018686259;0,062394305;0,934312947;1;;;;;
224;-1,891740945;0,058895262;-5,412952739;1;;;;;
225;-2,039413532;0,061144474;1,970676591;1;;;;;
226;-2,13574749;0,06233778;6,787374496;0;;;;;
227;-2,039937836;0,064385579;1,99689182;1;;;;;
228;-1,933367979;0,059052888;-3,331601028;1;;;;;
229;-2,081489251;0,064188071;4,074462547;1;;;;;
230;-1,906291071;0,05885683;-4,685446463;1;;;;;
231;-2,027101399;0,062952807;1,355069952;1;;;;;
232;-1,987983828;0,060226818;-0,600808607;1;;;;;
233;-1,964896367;0,062499275;-1,75518166;1;;;;;
234;-2,065901197;0,061752343;3,295059863;1;;;;;
235;-1,946083721;0,05673839;-2,695813974;1;;;;;
236;-1,876773698;0,061361115;-6,161315085;0;;;;;
237;-1,98989449;0,058947793;-0,505275519;1;;;;;
238;-2,009171503;0,063276432;0,458575154;1;;;;;
239;-2,032999348;0,061964996;1,649967406;1;;;;;
240;-1,982057226;0,057773417;-0,89713868;1;;;;;
241;-1,968315139;0,060425796;-1,584243056;1;;;;;
242;-2,045771174;0,062344738;2,288558683;1;;;;;
243;-2,019272197;0,061481464;0,963609856;1;;;;;
244;-2,030413215;0,061650473;1,520660773;1;;;;;
245;-2,111470973;0,063600257;5,573548629;1;;;;;
246;-1,971115605;0,059517542;-1,444219734;1;;;;;
247;-1,975966626;0,057880217;-1,201668707;1;;;;;
248;-2,03507735;0,059090558;1,753867498;1;;;;;
249;-1,907983805;0,060656616;-4,600809747;1;;;;;
250;-1,905775231;0,058722372;-4,711238448;1;;;;;
251;-2,007065049;0,058492417;0,353252433;1;;;;;
252;-1,931494532;0,05710728;-3,425273401;1;;;;;
253;-1,966396893;0,058867317;-1,680155343;1;;;;;
254;-2,087369511;0,061497211;4,368475557;1;;;;;
255;-2,001203839;0,057644387;0,06019197;1;;;;;
256;-2,01207992;0,060132782;0,603996005;1;;;;;
257;-1,926064067;0,065218196;-3,696796661;1;;;;;
258;-2,052193026;0,064894612;2,609651305;1;;;;;
259;-2,012560558;0,058360249;0,628027902;1;;;;;
260;-2,016257361;0,057454417;0,812868058;1;;;;;
261;-1,929258224;0,057257717;-3,537088786;1;;;;;
262;-2,029888688;0,059601742;1,494434395;1;;;;;
263;-2,048714475;0,058793262;2,43572377;1;;;;;
264;-2,133798946;0,065414381;6,68994728;0;;;;;
265;-1,883530611;0,056195225;-5,823469464;0;;;;;
266;-2,028489243;0,061008536;1,424462172;1;;;;;
267;-1,995809316;0,060266502;-0,209534219;1;;;;;
268;-2,044499799;0,0609369;2,224989962;1;;;;;
269;-2,005250003;0,058973139;0,262500152;1;;;;;
270;-2,041691226;0,060339158;2,084561313;1;;;;;
271;-2,076558843;0,063000763;3,827942157;1;;;;;
272;-2,09196884;0,065274505;4,598441995;1;;;;;
273;-2,030985641;0,060238962;1,549282065;1;;;;;
274;-2,050347831;0,064377493;2,517391569;1;;;;;
275;-2,041328753;0,062063994;2,066437652;1;;;;;
276;-1,992938288;0,0624823;-0,353085581;1;;;;;
277;-1,968626678;0,060744535;-1,568666114;1;;;;;
278;-2,030709712;0,062460108;1,535485602;1;;;;;
279;-1,905427747;0,057489878;-4,728612642;1;;;;;
280;-2,022529305;0,063009801;1,126465242;1;;;;;
281;-2,024031428;0,061372653;1,201571398;1;;;;;
282;-2,11599256;0,063942316;5,799628013;1;;;;;
283;-1,984936469;0,0614034;-0,753176561;1;;;;;
284;-1,962298599;0,064412402;-1,885070046;1;;;;;
285;-1,943192269;0,056234474;-2,840386571;1;;;;;
286;-2,037638178;0,062797073;1,881908899;1;;;;;
287;-1,97466231;0,062500413;-1,266884491;1;;;;;
288;-2,037654546;0,056346298;1,882727299;1;;;;;
289;-1,964348416;0,065957931;-1,782579211;1;;;;;
290;-1,960433761;0,059147222;-1,97831193;1;;;;;
291;-2,014784792;0,062818554;0,739239619;1;;;;;
292;-1,969081044;0,060530464;-1,545947782;1;;;;;
293;-1,930935648;0,061032625;-3,453217607;1;;;;;
294;-1,978827391;0,060271736;-1,05863044;1;;;;;
295;-1,998367274;0,062291714;-0,081636282;1;;;;;
296;-1,897094873;0,056951445;-5,145256337;1;;;;;
297;-1,985564331;0,061102416;-0,721783437;1;;;;;
298;-2,010157658;0,06062857;0,507882882;1;;;;;
299;-2,044561192;0,06224618;2,228059582;1;;;;;
300;-1,956019659;0,064083073;-2,199017045;1;;;;;
301;-1,998148304;0,05970288;-0,092584805;1;;;;;
302;-2,01740745;0,062532573;0,87037251;1;;;;;
303;-2,02888825;0,060912195;1,444412512;1;;;;;
304;-2,101528543;0,0625656;5,076427142;1;;;;;
305;-2,043219984;0,061941575;2,160999186;1;;;;;
306;-1,967531877;0,059476218;-1,62340616;1;;;;;
307;-2,057408668;0,064763681;2,87043341;1;;;;;
308;-2,050916216;0,061815297;2,5458108;1;;;;;
309;-1,998774201;0,060942849;-0,061289944;1;;;;;
310;-2,0774305;0,061283446;3,871525004;1;;;;;
311;-2,08209513;0,063867128;4,104756515;1;;;;;
312;-1,935547653;0,060707745;-3,222617375;1;;;;;
313;-1,951629206;0,05864136;-2,418539718;1;;;;;
314;-1,966549231;0,064218555;-1,672538461;1;;;;;
315;-2,068407827;0,060606779;3,420391329;1;;;;;
316;-1,970695714;0,06133302;-1,465214306;1;;;;;
317;-1,988782017;0,062181319;-0,560899131;1;;;;;
318;-1,946174739;0,057797158;-2,691263046;1;;;;;
319;-2,013177395;0,057607913;0,658869758;1;;;;;
320;-1,968541866;0,058130409;-1,572906684;1;;;;;
321;-1,98677355;0,059269534;-0,661322511;1;;;;;
