;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
114;7,074833604;2,079747692;-29,25166396;1;;;;;
115;9,50298666;2,660973002;-4,970133398;1;;;;;
116;9,401573507;2,580655579;-5,984264929;1;;;;;
117;5,682079905;1,51407;-43,17920095;0;;;;;
118;7,640293574;2,061793759;-23,59706426;1;;;;;
119;8,635076962;2,45669185;-13,64923038;1;;;;;
120;9,209353672;2,560216823;-7,906463281;1;;;;;
121;10,72223596;3,124850408;7,222359596;1;;;;;
122;10,47110667;2,802121023;4,711066732;1;;;;;
123;12,08543072;3,101268452;20,85430725;1;;;;;
124;9,032206955;2,710744468;-9,677930446;1;;;;;
125;10,88409669;3,370572363;8,840966851;1;;;;;
126;9,717229739;2,523537561;-2,827702606;1;;;;;
127;10,44514177;2,813613487;4,451417703;1;;;;;
128;7,55698775;2,214336256;-24,4301225;1;;;;;
129;10,24475004;2,947442123;2,447500353;1;;;;;
130;7,860289733;2,271410461;-21,39710267;1;;;;;
131;8,670633754;2,665230767;-13,29366246;1;;;;;
132;4,893666191;1,56393189;-51,06333809;0;;;;;
133;7,514917733;2,175768044;-24,85082267;1;;;;;
134;11,81802953;3,403028884;18,18029527;1;;;;;
135;4,508353631;1,304880688;-54,91646369;0;;;;;
136;6,682603085;1,964553991;-33,17396915;1;;;;;
137;6,540459782;2,05354307;-34,59540218;1;;;;;
138;6,400780287;1,819491243;-35,99219713;1;;;;;
139;8,974386659;2,680951713;-10,25613341;1;;;;;
140;6,888826438;2,099715907;-31,11173562;1;;;;;
141;10,64273273;2,995665875;6,42732731;1;;;;;
142;12,20655401;3,283906786;22,06554007;1;;;;;
143;10,43127505;2,823758513;4,312750515;1;;;;;
144;13,84191473;3,971946571;38,41914734;1;;;;;
145;5,723766548;1,634759513;-42,76233452;0;;;;;
146;8,218926148;2,388761849;-17,81073852;1;;;;;
147;8,046408801;2,284698115;-19,53591199;1;;;;;
148;10,1233043;2,77055157;1,233042978;1;;;;;
149;8,940590405;2,534691048;-10,59409595;1;;;;;
150;6,20255295;1,747374468;-37,9744705;1;;;;;
151;7,790209875;2,615282354;-22,09790125;1;;;;;
152;8,76361967;2,616105914;-12,3638033;1;;;;;
153;5,951565943;1,806130164;-40,48434057;1;;;;;
154;6,809893764;2,116658767;-31,90106236;1;;;;;
155;7,599852089;2,347097492;-24,00147911;1;;;;;
156;8,168039978;2,404316183;-18,31960022;1;;;;;
157;9,251708966;2,376872139;-7,482910342;1;;;;;
158;7,955111082;2,351234057;-20,44888918;1;;;;;
159;6,923536517;1,992895482;-30,76463483;1;;;;;
160;7,098092309;2,156514922;-29,01907691;1;;;;;
161;5,693568974;1,715313224;-43,06431026;0;;;;;
162;7,775993959;2,38944799;-22,24006041;1;;;;;
163;8,115335605;2,107442649;-18,84664395;1;;;;;
164;8,520507156;2,432662109;-14,79492844;1;;;;;
165;8,687701183;2,556603955;-13,12298817;1;;;;;
166;7,467324342;2,079261552;-25,32675658;1;;;;;
167;9,334995294;2,702414115;-6,650047057;1;;;;;
168;9,355027936;2,492838489;-6,449720644;1;;;;;
169;7,844192862;2,298365479;-21,55807138;1;;;;;
170;7,305683187;2,030057236;-26,94316813;1;;;;;
171;7,795574815;2,346503332;-22,04425185;1;;;;;
172;10,75055565;2,859576176;7,50555652;1;;;;;
173;8,542859606;2,289686743;-14,57140394;1;;;;;
174;8,030255786;2,106574442;-19,69744214;1;;;;;
175;11,45979577;3,600924116;14,59795767;1;;;;;
176;8,420723006;2,435468806;-15,79276994;1;;;;;
177;9,020429263;2,464165123;-9,79570737;1;;;;;
